Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
95092 [0, 1, 1, 1, 6] 5 [1, 3]|Found route: [POIs: (11, 95231, restaurant, 0.34473760450072044), (11, 95231, coffee_shop, 0.0), (11, 95231, coffee_shop, 0.0), (655, 97716, coffee_shop, 0.3341462248813731), (4486, 97715, gas_station, 0.2686184559297083), Length: 0.9475022853118018, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 47 ms|Time for KNN: 46 ms|Heap fetches: 61|Max heap size: 12
156363 [4, 4, 6, 4, 3] 5 [1, 3]|Found route: [POIs: (3372, 167527, pharmacy, 1.1884802949609559), (3372, 167527, pharmacy, 0.0), (4437, 167249, gas_station, 0.907780896464813), (3261, 168950, pharmacy, 0.693320691773961), (2684, 168819, movie_theater, 0.15324926710318287), Length: 2.9428311503029128, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 726 ms|Time for KNN: 726 ms|Heap fetches: 165|Max heap size: 112
362504 [4, 2, 4, 6, 1] 5 [0, 2]|Found route: [POIs: (3313, 354955, pharmacy, 3.18885936583193), (2629, 355012, atm_bank, 0.11915095344285351), (3314, 354873, pharmacy, 0.007847450718895076), (4430, 354980, gas_station, 0.5459133675749774), (594, 360502, coffee_shop, 0.7989775832180629), Length: 4.660748720786719, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 420 ms|Time for KNN: 419 ms|Heap fetches: 264|Max heap size: 110
134766 [3, 3, 3, 6, 1] 5 [0, 2]|Found route: [POIs: (2783, 138754, movie_theater, 1.5636641403384621), (2783, 138754, movie_theater, 0.0), (2708, 138850, movie_theater, 0.03724571793156179), (4414, 139471, gas_station, 0.8257203969048106), (2078, 139499, coffee_shop, 0.2520494947928349), Length: 2.678679749967669, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 223 ms|Time for KNN: 223 ms|Heap fetches: 141|Max heap size: 52
166715 [2, 4, 6, 4, 2] 5 [1, 3]|Found route: [POIs: (2667, 168891, atm_bank, 0.789550407727859), (3092, 139312, pharmacy, 0.7098487990943593), (4414, 139471, gas_station, 0.5360171051178316), (3037, 139499, pharmacy, 0.2520494947928349), (2658, 139498, atm_bank, 0.032585316906845574), Length: 2.3200511236397308, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 394 ms|Time for KNN: 394 ms|Heap fetches: 139|Max heap size: 103
37501 [5, 2, 5, 4, 1] 5 [0, 2]|Found route: [POIs: (3781, 35122, pub_bar, 1.9765366104661213), (2286, 128575, atm_bank, 0.3844536227153754), (3584, 128575, pub_bar, 0.0), (2930, 128627, pharmacy, 0.2793803888499513), (307, 128730, coffee_shop, 0.05035288930742494), Length: 2.6907235113388723, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 39 ms|Time for KNN: 38 ms|Heap fetches: 31|Max heap size: 12
258929 [1, 3, 5, 0, 5] 5 [2, 4]|Found route: [POIs: (820, 255639, coffee_shop, 2.213242488459408), (2722, 255396, movie_theater, 1.014285149594672), (3922, 252718, pub_bar, 1.528920786833993), (619, 252719, restaurant, 0.0131404080876259), (3923, 251613, pub_bar, 0.8218455018639388), Length: 5.591434334839638, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 437 ms|Time for KNN: 436 ms|Heap fetches: 66|Max heap size: 19
250119 [5, 2, 5, 4, 0] 5 [0, 2]|Found route: [POIs: (3812, 242260, pub_bar, 6.256509147337925), (2295, 241941, atm_bank, 0.6354190222626952), (3810, 241658, pub_bar, 0.41619448853452706), (3219, 241586, pharmacy, 0.05144114251911973), (456, 241507, restaurant, 0.044301493711386246), Length: 7.403865294365654, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 39 ms|Time for KNN: 38 ms|Heap fetches: 9|Max heap size: 6
329782 [0, 2, 1, 2, 1] 5 [1, 3]|Found route: [POIs: (254, 329822, restaurant, 0.1771197128899931), (2270, 329822, atm_bank, 0.0), (254, 329822, coffee_shop, 0.0), (2607, 329793, atm_bank, 0.5176503958398504), (1601, 329790, coffee_shop, 0.1014930512281904), Length: 0.7962631599580339, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 50 ms|Time for KNN: 50 ms|Heap fetches: 70|Max heap size: 26
148197 [1, 5, 5, 5, 1] 5 [1, 3]|Found route: [POIs: (284, 148118, coffee_shop, 0.23097287100948194), (4326, 147303, pub_bar, 0.644246442218932), (4326, 147303, pub_bar, 0.0), (3469, 148398, pub_bar, 0.13993557416318664), (1268, 102658, coffee_shop, 0.08771612616582773), Length: 1.1028710135574282, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 95 ms|Time for KNN: 94 ms|Heap fetches: 103|Max heap size: 40
