Query|Pne route|Found route|Time|Time for PNE|Heap fetches
55049 [0, 0, 2, 6, 0] 5 [1, 4]|PNE route: [POIs: (1237, 55452, restaurant, 0.9074689717373832), (1237, 55452, restaurant, 0.0), (2522, 55460, atm_bank, 0.13948912936284652), (4439, 52586, gas_station, 0.630906649235145), (1237, 55452, restaurant, 0.5891546530110239), Length: 2.2670194033463984, Heuristic: 0.0]|Found route 2: [POIs: (1237, 55452, restaurant, 0.9074689717373832), (1237, 55452, restaurant, 0.0), (2522, 55460, atm_bank, 0.13948912936284652), (4439, 52586, gas_station, 0.630906649235145), (1237, 55452, restaurant, 0.5891546530110239), Length: 2.2670194033463984, Heuristic: 0.0]|Time: 5239 ms|Time for PNE: 8 ms|Heap fetches: 0
203945 [0, 0, 3, 0, 0] 5 [1, 4]|PNE route: [POIs: (1799, 203951, restaurant, 0.07857161557805334), (1799, 203951, restaurant, 0.0), (2681, 204019, movie_theater, 0.19387868557045965), (413, 204019, restaurant, 0.0), (413, 204019, restaurant, 0.0), Length: 0.272450301148513, Heuristic: 0.0]|Found route 2: [POIs: (1799, 203951, restaurant, 0.07857161557805334), (413, 204019, restaurant, 0.19387868557045965), (2681, 204019, movie_theater, 0.0), (413, 204019, restaurant, 0.0), (413, 204019, restaurant, 0.0), Length: 0.272450301148513, Heuristic: 0.0]|Time: 2891 ms|Time for PNE: 1 ms|Heap fetches: 11
227363 [0, 0, 3, 1, 0] 5 [1, 4]|PNE route: [POIs: (606, 233774, restaurant, 1.9550637461044913), (606, 233774, restaurant, 0.0), (2753, 233915, movie_theater, 0.012755992089490367), (586, 233722, coffee_shop, 0.38055155994049883), (586, 233722, restaurant, 0.0), Length: 2.3483712981344804, Heuristic: 0.0]|Found route 2: [POIs: (944, 225787, restaurant, 1.5162254872238097), (135, 166499, restaurant, 0.9328170024621018), (2777, 166597, movie_theater, 0.12541986028442803), (135, 166499, coffee_shop, 0.12541986028442803), (135, 166499, restaurant, 0.0), Length: 2.6998822102547675, Heuristic: 0.0]|Time: 107169 ms|Time for PNE: 16 ms|Heap fetches: 1688
349667 [0, 0, 3, 2, 0] 5 [1, 4]|PNE route: [POIs: (1592, 396139, restaurant, 2.5602334168054974), (1592, 396139, restaurant, 0.0), (2697, 335053, movie_theater, 1.349189216050606), (2349, 335178, atm_bank, 0.07728252023476088), (511, 335049, restaurant, 0.12318057487845271), Length: 4.109885727969317, Heuristic: 0.0]|Found route 2: [POIs: (511, 335049, restaurant, 3.955320687499795), (511, 335049, restaurant, 0.0), (2697, 335053, movie_theater, 0.09578903278671153), (2349, 335178, atm_bank, 0.07728252023476088), (511, 335049, restaurant, 0.12318057487845271), Length: 4.25157281539972, Heuristic: 0.0]|Time: 114320 ms|Time for PNE: 13 ms|Heap fetches: 1098
136408 [0, 0, 3, 3, 0] 5 [1, 4]|PNE route: [POIs: (110, 136850, restaurant, 1.3775615107001227), (110, 136850, restaurant, 0.0), (2783, 138754, movie_theater, 0.5188682427668266), (2783, 138754, movie_theater, 0.0), (485, 139005, restaurant, 0.27536156435441855), Length: 2.1717913178213677, Heuristic: 0.0]|Found route 2: [POIs: (1045, 127199, restaurant, 2.2551759816447388), (1045, 127199, restaurant, 0.0), (2762, 127199, movie_theater, 0.0), (2762, 127199, movie_theater, 0.0), (1045, 127199, restaurant, 0.0), Length: 2.2551759816447388, Heuristic: 0.0]|Time: 12094 ms|Time for PNE: 2 ms|Heap fetches: 67
44655 [0, 0, 3, 4, 0] 5 [1, 4]|PNE route: [POIs: (1293, 55394, restaurant, 4.562499421747566), (1293, 55394, restaurant, 0.0), (2782, 56332, movie_theater, 0.8484283160859728), (2878, 57458, pharmacy, 0.22362518318022456), (1438, 57458, restaurant, 0.0), Length: 5.634552921013763, Heuristic: 0.0]|Found route 2: [POIs: (1439, 57455, restaurant, 5.552404640856578), (1439, 57455, restaurant, 0.0), (2797, 57488, movie_theater, 0.06412075298050063), (2878, 57458, pharmacy, 0.1499652536106298), (1439, 57455, restaurant, 0.08584450063012916), Length: 5.852335148077838, Heuristic: 0.0]|Time: 23116 ms|Time for PNE: 3 ms|Heap fetches: 344
151740 [0, 0, 3, 5, 0] 5 [1, 4]|PNE route: [POIs: (1789, 150679, restaurant, 1.1422734161931494), (1790, 150679, restaurant, 0.0), (2808, 150853, movie_theater, 0.21670547906194276), (3741, 151691, pub_bar, 0.27675500976603634), (863, 151691, restaurant, 0.0), Length: 1.6357339050211284, Heuristic: 0.0]|Found route 2: [POIs: (1793, 167605, restaurant, 1.4956850546431715), (1793, 167605, restaurant, 0.0), (2768, 167605, movie_theater, 0.0), (3746, 167589, pub_bar, 0.12970854898035192), (1793, 167605, restaurant, 0.12970854898035195), Length: 1.7551021526038755, Heuristic: 0.0]|Time: 13070 ms|Time for PNE: 1 ms|Heap fetches: 111
140023 [0, 0, 3, 6, 0] 5 [1, 4]|PNE route: [POIs: (1541, 139816, restaurant, 0.5484833426545896), (1541, 139816, restaurant, 0.0), (2783, 138754, movie_theater, 1.0647026026671973), (4414, 139471, gas_station, 0.8201754509380631), (1, 139337, restaurant, 0.24937157401527585), Length: 2.6827329702751257, Heuristic: 0.0]|Found route 2: [POIs: (2068, 138897, restaurant, 1.1243935805730247), (1695, 139498, restaurant, 0.66020376580806), (2773, 139144, movie_theater, 0.4766867074680428), (4414, 139471, gas_station, 0.24783093141930854), (1695, 139498, restaurant, 0.2842821584826412), Length: 2.7933971437510774, Heuristic: 0.0]|Time: 169221 ms|Time for PNE: 80 ms|Heap fetches: 8163
208357 [0, 0, 4, 0, 0] 5 [1, 4]|PNE route: [POIs: (1375, 205516, restaurant, 1.8167146702482289), (1375, 205516, restaurant, 0.0), (3305, 205849, pharmacy, 0.02959372839567736), (1375, 205516, restaurant, 0.02959372839567736), (1375, 205516, restaurant, 0.0), Length: 1.8759021270395835, Heuristic: 0.0]|Found route 2: [POIs: (1375, 205516, restaurant, 1.8167146702482289), (1375, 205516, restaurant, 0.0), (3305, 205849, pharmacy, 0.02959372839567736), (1375, 205516, restaurant, 0.02959372839567736), (1375, 205516, restaurant, 0.0), Length: 1.8759021270395835, Heuristic: 0.0]|Time: 1367 ms|Time for PNE: 1 ms|Heap fetches: 0
234102 [0, 0, 4, 1, 0] 5 [1, 4]|PNE route: [POIs: (586, 233722, restaurant, 0.5576133841240936), (394, 233733, restaurant, 0.28652742722920804), (3001, 233707, pharmacy, 0.05803013129193163), (760, 233216, coffee_shop, 0.1031282671041876), (760, 233216, restaurant, 0.0), Length: 1.0052992097494207, Heuristic: 0.0]|Found route 2: [POIs: (581, 233712, restaurant, 0.7921616745793089), (581, 233712, restaurant, 0.0), (3119, 233877, pharmacy, 0.12090991651365753), (581, 233712, coffee_shop, 0.12090991651365754), (581, 233712, restaurant, 0.0), Length: 1.0339815076066239, Heuristic: 0.0]|Time: 7682 ms|Time for PNE: 3 ms|Heap fetches: 191
149008 [0, 0, 4, 2, 0] 5 [1, 4]|PNE route: [POIs: (1015, 158054, restaurant, 0.6536470290737559), (1015, 158054, restaurant, 0.0), (2974, 158592, pharmacy, 0.2777578135160378), (2235, 158468, atm_bank, 0.05154910764146938), (1013, 158471, restaurant, 0.014310648562636929), Length: 0.9972645987939001, Heuristic: 0.0]|Found route 2: [POIs: (1015, 158054, restaurant, 0.6536470290737559), (1012, 158592, restaurant, 0.2777578135160378), (2974, 158592, pharmacy, 0.0), (2235, 158468, atm_bank, 0.05154910764146938), (1012, 158592, restaurant, 0.05154910764146938), Length: 1.0345030578727326, Heuristic: 0.0]|Time: 10245 ms|Time for PNE: 3 ms|Heap fetches: 203
407183 [0, 0, 4, 3, 0] 5 [1, 4]|PNE route: [POIs: (1817, 423150, restaurant, 4.0089148558850844), (1817, 423150, restaurant, 0.0), (3370, 423150, pharmacy, 0.0), (2806, 424193, movie_theater, 0.47735613852886843), (1781, 424193, restaurant, 0.0), Length: 4.486270994413953, Heuristic: 0.0]|Found route 2: [POIs: (1817, 423150, restaurant, 4.0089148558850844), (1817, 423150, restaurant, 0.0), (3370, 423150, pharmacy, 0.0), (2806, 424193, movie_theater, 0.47735613852886843), (1817, 423150, restaurant, 0.47735613852886855), Length: 4.963627132942822, Heuristic: 0.0]|Time: 6285 ms|Time for PNE: 5 ms|Heap fetches: 116
31396 [0, 0, 4, 4, 0] 5 [1, 4]|PNE route: [POIs: (641, 32590, restaurant, 0.9006432720317662), (641, 32590, restaurant, 0.0), (2903, 32475, pharmacy, 0.2072249430224939), (2903, 32475, pharmacy, 0.0), (641, 32590, restaurant, 0.20722494302249386), Length: 1.315093158076754, Heuristic: 0.0]|Found route 2: [POIs: (641, 32590, restaurant, 0.9006432720317662), (641, 32590, restaurant, 0.0), (2903, 32475, pharmacy, 0.2072249430224939), (2903, 32475, pharmacy, 0.0), (641, 32590, restaurant, 0.20722494302249386), Length: 1.315093158076754, Heuristic: 0.0]|Time: 334 ms|Time for PNE: 1 ms|Heap fetches: 0
