78678 [3, 6, 4, 6] 4 [1, 3]|Found route: [POIs: (2751, 81959, movie_theater, 2.1283828646146956), (4376, 82371, gas_station, 0.5058267452081251), (3403, 99855, pharmacy, 0.6541155328401185), (4449, 143536, gas_station, 0.6259376202887368), Length: 3.9142627629516764, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 209 ms|Time for KNN: 209 ms|Heap fetches: 68|Max heap size: 62
384139 [5, 3, 4, 5] 4 [0, 3]|Found route: [POIs: (3953, 382736, pub_bar, 2.8520102712760766), (2707, 388877, movie_theater, 2.3837495448288863), (3081, 391440, pharmacy, 0.14860550653280633), (3637, 388877, pub_bar, 0.14860550653280633), Length: 5.532970829170576, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 140 ms|Time for KNN: 139 ms|Heap fetches: 32|Max heap size: 22
189875 [4, 2, 1, 2] 4 [1, 3]|Found route: [POIs: (3241, 189899, pharmacy, 0.12698347237312033), (2098, 189919, atm_bank, 0.12793846857078015), (27, 189920, coffee_shop, 0.0711084940214979), (2198, 189690, atm_bank, 0.03309983516374341), Length: 0.3591302701291418, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 18 ms|Time for KNN: 18 ms|Heap fetches: 28|Max heap size: 24
8920 [1, 0, 1, 4] 4 [0, 2]|Found route: [POIs: (1204, 12247, coffee_shop, 1.564642359157159), (1204, 12247, restaurant, 0.0), (1712, 12384, coffee_shop, 0.3789700360568241), (3225, 13712, pharmacy, 0.2724882023503754), Length: 2.216100597564359, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 19 ms|Time for KNN: 19 ms|Heap fetches: 24|Max heap size: 21
184552 [2, 4, 2, 6] 4 [0, 2]|Found route: [POIs: (2272, 186504, atm_bank, 1.875501209629502), (3343, 187639, pharmacy, 0.1519985360929624), (2628, 187310, atm_bank, 0.05355598668840403), (4488, 187942, gas_station, 0.6925461333431397), Length: 2.7736018657540082, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1731 ms|Time for KNN: 1727 ms|Heap fetches: 1247|Max heap size: 1247
254058 [1, 3, 5, 3] 4 [1, 3]|Found route: [POIs: (1909, 299711, coffee_shop, 4.2877314828947455), (2787, 299711, movie_theater, 0.0), (3630, 299732, pub_bar, 0.5527514806902152), (2733, 299338, movie_theater, 0.47983439695640145), Length: 5.320317360541362, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1471 ms|Time for KNN: 1468 ms|Heap fetches: 731|Max heap size: 531
277578 [6, 2, 6, 3] 4 [0, 2]|Found route: [POIs: (4526, 276863, gas_station, 0.7441599316119347), (2437, 275467, atm_bank, 1.0954001642781117), (4539, 276224, gas_station, 1.0368976588755563), (2747, 275432, movie_theater, 0.9120425327118759), Length: 3.7885002874774787, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 150 ms|Time for KNN: 150 ms|Heap fetches: 48|Max heap size: 48
351842 [2, 3, 3, 3] 4 [1, 3]|Found route: [POIs: (2109, 311437, atm_bank, 1.152843369853202), (2695, 310697, movie_theater, 0.6790983211548636), (2741, 310716, movie_theater, 0.20623670638615343), (2741, 310716, movie_theater, 0.0), Length: 2.038178397394219, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 11 ms|Time for KNN: 11 ms|Heap fetches: 9|Max heap size: 5
166612 [1, 3, 0, 1] 4 [0, 3]|Found route: [POIs: (135, 166499, coffee_shop, 0.040444156170697076), (2777, 166597, movie_theater, 0.12541986028442803), (802, 184026, restaurant, 0.27419129632890515), (802, 184026, coffee_shop, 0.0), Length: 0.44005531278403026, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 14 ms|Time for KNN: 13 ms|Heap fetches: 20|Max heap size: 10
122274 [5, 0, 5, 6] 4 [0, 2]|Found route: [POIs: (4157, 126370, pub_bar, 0.698114699990671), (1623, 126173, restaurant, 0.11816780160713139), (4158, 126372, pub_bar, 0.10503822753479862), (4442, 126176, gas_station, 0.13077102634334203), Length: 1.052091755475943, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 36 ms|Time for KNN: 35 ms|Heap fetches: 45|Max heap size: 45
