Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
422532 [4, 0, 0, 6, 0] 5 [2, 4]|PNE route: [POIs: (3370, 423150, pharmacy, 0.4912936678396115), (1817, 423150, restaurant, 0.0), (1817, 423150, restaurant, 0.0), (4399, 423149, gas_station, 0.22397633978820805), (1817, 423150, restaurant, 0.22397633978820808), Length: 0.9392463474160276, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3370, 423150, pharmacy, 0.4912936678396115), (1817, 423150, restaurant, 0.0), (1817, 423150, restaurant, 0.0), (4399, 423149, gas_station, 0.22397633978820805), (1817, 423150, restaurant, 0.22397633978820808), Length: 0.9392463474160276, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 90 ms|Time for PNE: 8 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
160221 [6, 1, 6, 4, 6] 5 [0, 2]|PNE route: [POIs: (4524, 166237, gas_station, 2.685193036521519), (145, 166258, coffee_shop, 0.3372013501367229), (4524, 166237, gas_station, 0.3372013501367229), (3071, 166243, pharmacy, 0.07209561972315767), (4524, 166237, gas_station, 0.07209561972315767), Length: 3.5037869762412805, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4524, 166237, gas_station, 2.685193036521519), (145, 166258, coffee_shop, 0.3372013501367229), (4524, 166237, gas_station, 0.3372013501367229), (3071, 166243, pharmacy, 0.07209561972315767), (4524, 166237, gas_station, 0.07209561972315767), Length: 3.5037869762412805, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 268 ms|Time for PNE: 186 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
393035 [5, 1, 3, 1, 1] 5 [1, 3]|PNE route: [POIs: (3898, 392400, pub_bar, 0.8013864769645387), (1599, 392546, coffee_shop, 0.14023019693788008), (2770, 392427, movie_theater, 0.11239880702171248), (1599, 392546, coffee_shop, 0.11239880702171251), (1599, 392546, coffee_shop, 0.0), Length: 1.166414287945844, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3898, 392400, pub_bar, 0.8013864769645387), (1599, 392546, coffee_shop, 0.14023019693788008), (2770, 392427, movie_theater, 0.11239880702171248), (1599, 392546, coffee_shop, 0.11239880702171251), (1599, 392546, coffee_shop, 0.0), Length: 1.166414287945844, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 98 ms|Time for PNE: 16 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
245304 [0, 0, 4, 0, 2] 5 [1, 3]|PNE route: [POIs: (388, 245200, restaurant, 0.17263197397962124), (388, 245200, restaurant, 0.0), (3198, 216897, pharmacy, 2.146903080210084), (1762, 216803, restaurant, 0.7661198999446618), (2657, 216796, atm_bank, 0.23095134495931724), Length: 3.316606299093684, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1867, 231452, restaurant, 3.1951927023016227), (1867, 231452, restaurant, 0.0), (3321, 231454, pharmacy, 0.12584000603981027), (1867, 231452, restaurant, 0.12584000603981027), (2492, 231495, atm_bank, 0.10213115604404233), Length: 3.5490038704252855, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 8268 ms|Time for PNE: 73 ms|Time for KNN: 45 ms|Time for Dijkstra: 7969 ms|Heap fetches: 55|Max heap size: 35
262898 [1, 6, 4, 4, 4] 5 [2, 4]|PNE route: [POIs: (740, 263232, coffee_shop, 0.4408157450453598), (4501, 262839, gas_station, 0.4016845625437415), (3393, 262899, pharmacy, 0.35900518769949225), (3393, 262899, pharmacy, 0.0), (3393, 262899, pharmacy, 0.0), Length: 1.2015054952885935, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (740, 263232, coffee_shop, 0.4408157450453598), (4501, 262839, gas_station, 0.4016845625437415), (3393, 262899, pharmacy, 0.35900518769949225), (3393, 262899, pharmacy, 0.0), (3393, 262899, pharmacy, 0.0), Length: 1.2015054952885935, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 88 ms|Time for PNE: 6 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
326273 [1, 5, 0, 1, 0] 5 [2, 4]|PNE route: [POIs: (1175, 326261, coffee_shop, 0.31747788141970257), (3836, 326652, pub_bar, 0.03133803584538338), (1175, 326261, restaurant, 0.03133803584538339), (1175, 326261, coffee_shop, 0.0), (1175, 326261, restaurant, 0.0), Length: 0.3801539531104693, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1175, 326261, coffee_shop, 0.31747788141970257), (3836, 326652, pub_bar, 0.03133803584538338), (1175, 326261, restaurant, 0.03133803584538339), (1175, 326261, coffee_shop, 0.0), (1175, 326261, restaurant, 0.0), Length: 0.3801539531104693, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 88 ms|Time for PNE: 5 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
204151 [2, 2, 2, 6, 1] 5 [0, 2]|PNE route: [POIs: (2544, 205336, atm_bank, 1.867859011657781), (2544, 205336, atm_bank, 0.0), (2226, 205336, atm_bank, 0.0), (4496, 205493, gas_station, 0.7671233157408821), (1378, 204958, coffee_shop, 0.7277781312112683), Length: 3.362760458609931, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2544, 205336, atm_bank, 1.867859011657781), (2544, 205336, atm_bank, 0.0), (2544, 205336, atm_bank, 0.0), (4496, 205493, gas_station, 0.7671233157408821), (1378, 204958, coffee_shop, 0.7277781312112683), Length: 3.362760458609931, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 93621 ms|Time for PNE: 5009 ms|Time for KNN: 319 ms|Time for Dijkstra: 88107 ms|Heap fetches: 241|Max heap size: 83
26656 [1, 3, 1, 2, 4] 5 [0, 2]|PNE route: [POIs: (714, 112784, coffee_shop, 2.266541374803277), (2736, 112380, movie_theater, 0.6445939406883855), (354, 112436, coffee_shop, 0.4490220438927922), (2082, 112331, atm_bank, 0.07755896590020062), (3199, 112331, pharmacy, 0.0), Length: 3.437716325284655, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (354, 112436, coffee_shop, 2.4904685476633115), (2736, 112380, movie_theater, 0.4490220438927922), (354, 112436, coffee_shop, 0.4490220438927922), (2082, 112331, atm_bank, 0.07755896590020062), (3199, 112331, pharmacy, 0.0), Length: 3.4660716013490966, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 11506 ms|Time for PNE: 162 ms|Time for KNN: 16 ms|Time for Dijkstra: 11144 ms|Heap fetches: 32|Max heap size: 17
88999 [6, 3, 4, 3, 1] 5 [1, 3]|PNE route: [POIs: (4529, 56235, gas_station, 1.2031560916030413), (2704, 56366, movie_theater, 1.1161398642170586), (2875, 56365, pharmacy, 0.056964730243144614), (2704, 56366, movie_theater, 0.056964730243144614), (94, 57456, coffee_shop, 0.24628767028332926), Length: 2.679513086589718, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4529, 56235, gas_station, 1.2031560916030413), (2704, 56366, movie_theater, 1.1161398642170586), (2875, 56365, pharmacy, 0.056964730243144614), (2704, 56366, movie_theater, 0.056964730243144614), (94, 57456, coffee_shop, 0.24628767028332926), Length: 2.679513086589718, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 146 ms|Time for PNE: 64 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
33222 [2, 3, 2, 3, 0] 5 [0, 2]|PNE route: [POIs: (2673, 26541, atm_bank, 2.852303422726198), (2691, 112401, movie_theater, 3.0209147868270705), (2309, 112661, atm_bank, 0.4035903661101144), (2691, 112401, movie_theater, 0.4035903661101144), (1861, 74748, restaurant, 0.13255239189835982), Length: 6.812951333671856, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2225, 20017, atm_bank, 6.627044451192043), (2771, 20112, movie_theater, 0.054451608969453016), (2225, 20017, atm_bank, 0.054451608969453016), (2771, 20112, movie_theater, 0.054451608969453016), (923, 20023, restaurant, 0.12165687873489772), Length: 6.9120561568353, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 59768 ms|Time for PNE: 1780 ms|Time for KNN: 647 ms|Time for Dijkstra: 57140 ms|Heap fetches: 303|Max heap size: 233
165331 [5, 0, 5, 6, 1] 5 [0, 2]|PNE route: [POIs: (3543, 166245, pub_bar, 0.47672719483104864), (147, 166245, restaurant, 0.0), (3543, 166245, pub_bar, 0.0), (4524, 166237, gas_station, 0.42084430063737066), (145, 166258, coffee_shop, 0.3372013501367229), Length: 1.2347728456051423, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3543, 166245, pub_bar, 0.47672719483104864), (147, 166245, restaurant, 0.0), (3543, 166245, pub_bar, 0.0), (4524, 166237, gas_station, 0.42084430063737066), (145, 166258, coffee_shop, 0.3372013501367229), Length: 1.2347728456051423, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 12219 ms|Time for PNE: 12137 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
132385 [6, 1, 6, 4, 2] 5 [0, 2]|PNE route: [POIs: (4463, 128702, gas_station, 2.9380225903933392), (307, 128730, coffee_shop, 0.06782855695548956), (4463, 128702, gas_station, 0.06782855695548956), (2930, 128627, pharmacy, 0.11818144626291449), (2285, 128558, atm_bank, 0.15013580496259193), Length: 3.341996955529825, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4463, 128702, gas_station, 2.9380225903933392), (307, 128730, coffee_shop, 0.06782855695548956), (4463, 128702, gas_station, 0.06782855695548956), (2930, 128627, pharmacy, 0.11818144626291449), (2285, 128558, atm_bank, 0.15013580496259193), Length: 3.341996955529825, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 149 ms|Time for PNE: 66 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
