Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
341298 [5, 1, 2, 4, 0, 2, 6] 7 [2, 5]|PNE route: [POIs: (3675, 341713, pub_bar, 0.8369998042641517), (1580, 341713, coffee_shop, 0.0), (2178, 341966, atm_bank, 0.026004514607199457), (2913, 341712, pharmacy, 0.08562347793901579), (1580, 341713, restaurant, 0.05961896333181632), (2178, 341966, atm_bank, 0.026004514607199457), (4387, 367074, gas_station, 1.3555356047802687), Length: 2.3897868795296513, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3675, 341713, pub_bar, 0.8369998042641517), (1580, 341713, coffee_shop, 0.0), (2178, 341966, atm_bank, 0.026004514607199457), (2913, 341712, pharmacy, 0.08562347793901579), (1580, 341713, restaurant, 0.05961896333181632), (2178, 341966, atm_bank, 0.026004514607199457), (4387, 367074, gas_station, 1.3555356047802687), Length: 2.3897868795296513, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3082 ms|Time for PNE: 2970 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
252881 [2, 0, 3, 3, 1, 1, 0] 7 [1, 6]|PNE route: [POIs: (2568, 255185, atm_bank, 0.8095564036479996), (603, 255424, restaurant, 0.14003784308977069), (2722, 255396, movie_theater, 0.0671220940930059), (2722, 255396, movie_theater, 0.0), (820, 255639, coffee_shop, 1.0142851495946719), (820, 255639, coffee_shop, 0.0), (820, 255639, restaurant, 0.0), Length: 2.031001490425448, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2568, 255185, atm_bank, 0.8095564036479996), (531, 255394, restaurant, 0.15125668639989095), (2722, 255396, movie_theater, 0.05707457405792733), (2722, 255396, movie_theater, 0.0), (820, 255639, coffee_shop, 1.0142851495946719), (820, 255639, coffee_shop, 0.0), (531, 255394, restaurant, 0.9657939515168295), Length: 2.997966765217319, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 332068 ms|Time for PNE: 3980 ms|Time for KNN: 6056 ms|Time for Dijkstra: 321896 ms|Heap fetches: 292|Max heap size: 51
161213 [3, 1, 3, 2, 6, 1, 3] 7 [0, 2]|PNE route: [POIs: (2777, 166597, movie_theater, 2.378238708985088), (135, 166499, coffee_shop, 0.12541986028442803), (2794, 166640, movie_theater, 0.3823488728502519), (2201, 166188, atm_bank, 0.29857394327356623), (4524, 166237, gas_station, 0.08695888222077908), (135, 166499, coffee_shop, 0.45567660678322436), (2777, 166597, movie_theater, 0.12541986028442803), Length: 3.852636734681766, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2777, 166597, movie_theater, 2.378238708985088), (135, 166499, coffee_shop, 0.12541986028442803), (2777, 166597, movie_theater, 0.12541986028442803), (2201, 166188, atm_bank, 0.6390981490594514), (4524, 166237, gas_station, 0.08695888222077908), (135, 166499, coffee_shop, 0.45567660678322436), (2777, 166597, movie_theater, 0.12541986028442803), Length: 3.9362319279018276, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 194595 ms|Time for PNE: 5302 ms|Time for KNN: 1012 ms|Time for Dijkstra: 187921 ms|Heap fetches: 188|Max heap size: 25
146301 [0, 5, 2, 1, 5, 3, 6] 7 [1, 4]|PNE route: [POIs: (1946, 145433, restaurant, 0.5599426987475853), (4335, 144405, pub_bar, 0.47706978940967026), (2183, 143733, atm_bank, 0.1688905892175209), (48, 143733, coffee_shop, 0.0), (4335, 144405, pub_bar, 0.1688905892175209), (2746, 147683, movie_theater, 0.849657478864302), (4535, 147405, gas_station, 0.3717209875667102), Length: 2.5961721330233094, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1946, 145433, restaurant, 0.5599426987475853), (4335, 144405, pub_bar, 0.47706978940967026), (2183, 143733, atm_bank, 0.1688905892175209), (48, 143733, coffee_shop, 0.0), (4335, 144405, pub_bar, 0.1688905892175209), (2746, 147683, movie_theater, 0.849657478864302), (4535, 147405, gas_station, 0.3717209875667102), Length: 2.5961721330233094, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 407117 ms|Time for PNE: 406987 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
394654 [1, 4, 0, 6, 0, 0, 6] 7 [2, 4]|PNE route: [POIs: (1327, 393489, coffee_shop, 0.3231910776812318), (2902, 394806, pharmacy, 0.4583319439644589), (224, 393745, restaurant, 1.502321086300859), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), Length: 2.6176936595242446, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1327, 393489, coffee_shop, 0.3231910776812318), (2902, 394806, pharmacy, 0.4583319439644589), (224, 393745, restaurant, 1.502321086300859), (4508, 393748, gas_station, 0.1112831838592316), (224, 393745, restaurant, 0.1112831838592316), (224, 393745, restaurant, 0.0), (4508, 393748, gas_station, 0.1112831838592316), Length: 2.6176936595242446, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 469 ms|Time for PNE: 360 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
144458 [3, 4, 2, 5, 3, 4, 0] 7 [0, 4]|PNE route: [POIs: (2742, 144082, movie_theater, 1.0367197946680662), (3229, 146028, pharmacy, 0.4526677413944837), (2164, 145992, atm_bank, 0.02782568376289668), (3461, 144161, pub_bar, 0.4011946290700922), (2742, 144082, movie_theater, 0.08515328480881203), (3229, 146028, pharmacy, 0.4526677413944837), (1856, 146044, restaurant, 0.1022615487140997), Length: 2.5584904238129345, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2742, 144082, movie_theater, 1.0367197946680662), (3229, 146028, pharmacy, 0.4526677413944837), (2164, 145992, atm_bank, 0.02782568376289668), (3461, 144161, pub_bar, 0.4011946290700922), (2742, 144082, movie_theater, 0.08515328480881203), (3229, 146028, pharmacy, 0.4526677413944837), (1856, 146044, restaurant, 0.1022615487140997), Length: 2.5584904238129345, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4282 ms|Time for PNE: 4172 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
218995 [2, 5, 6, 4, 5, 6, 0] 7 [1, 4]|PNE route: [POIs: (2159, 229529, atm_bank, 5.393970752262001), (3425, 229785, pub_bar, 0.03511741717056951), (4388, 229810, gas_station, 0.2852370525440444), (3359, 229556, pharmacy, 0.39123095492334015), (3425, 229785, pub_bar, 0.10599390237929573), (4388, 229810, gas_station, 0.2852370525440444), (1717, 229559, restaurant, 0.385665852677225), Length: 6.882452984500519, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2159, 229529, atm_bank, 5.393970752262001), (3425, 229785, pub_bar, 0.03511741717056951), (4388, 229810, gas_station, 0.2852370525440444), (3359, 229556, pharmacy, 0.39123095492334015), (3425, 229785, pub_bar, 0.10599390237929573), (4388, 229810, gas_station, 0.2852370525440444), (1717, 229559, restaurant, 0.385665852677225), Length: 6.882452984500519, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3255 ms|Time for PNE: 3146 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
339278 [5, 3, 4, 2, 5, 6, 3] 7 [0, 4]|PNE route: [POIs: (4134, 338244, pub_bar, 1.2037217080098368), (2702, 337770, movie_theater, 0.3766230734023994), (3216, 344691, pharmacy, 1.2044194328671485), (2345, 344668, atm_bank, 0.06976831526018938), (3482, 344737, pub_bar, 0.2027876006099259), (4446, 345625, gas_station, 0.6634747142605244), (2702, 337770, movie_theater, 1.7491244164465822), Length: 5.4699192608566065, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4134, 338244, pub_bar, 1.2037217080098368), (2702, 337770, movie_theater, 0.3766230734023994), (3145, 337755, pharmacy, 0.21877478462405225), (2323, 338015, atm_bank, 0.2769138351644919), (4134, 338244, pub_bar, 0.46315399273494506), (4446, 345625, gas_station, 1.6546146867282552), (2702, 337770, movie_theater, 1.7491244164465822), Length: 5.942926497110562, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 134859224 ms|Time for PNE: 19219239 ms|Time for KNN: 644699 ms|Time for Dijkstra: 114969593 ms|Heap fetches: 71211|Max heap size: 4486
70262 [6, 0, 5, 5, 6, 1, 5] 7 [3, 6]|PNE route: [POIs: (4397, 76454, gas_station, 3.1080549025321296), (790, 79763, restaurant, 0.7324418404397294), (3988, 118986, pub_bar, 0.44474774407312584), (3988, 118986, pub_bar, 0.0), (4364, 119537, gas_station, 0.9038748640932233), (470, 119744, coffee_shop, 0.3807553164527415), (3692, 119710, pub_bar, 0.0764015674530916), Length: 5.646276235044041, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4397, 76454, gas_station, 3.1080549025321296), (790, 79763, restaurant, 0.7324418404397294), (3988, 118986, pub_bar, 0.44474774407312584), (3692, 119710, pub_bar, 0.5995211150935732), (4364, 119537, gas_station, 0.30435374899965006), (470, 119744, coffee_shop, 0.3807553164527415), (3692, 119710, pub_bar, 0.0764015674530916), Length: 5.646276235044041, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 728371 ms|Time for PNE: 13862 ms|Time for KNN: 7988 ms|Time for Dijkstra: 706339 ms|Heap fetches: 1673|Max heap size: 262
191859 [1, 6, 6, 1, 0, 3, 2] 7 [0, 3]|PNE route: [POIs: (817, 61715, coffee_shop, 1.799903112327447), (4392, 61690, gas_station, 0.2977070000448071), (4392, 61690, gas_station, 0.0), (317, 57718, coffee_shop, 2.4563093799626174), (317, 57718, restaurant, 0.0), (2692, 57721, movie_theater, 0.05191636888311621), (2134, 57685, atm_bank, 0.2095753319297595), Length: 4.815411193147748, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (817, 61715, coffee_shop, 1.799903112327447), (4392, 61690, gas_station, 0.2977070000448071), (4392, 61690, gas_station, 0.0), (817, 61715, coffee_shop, 0.29770700004480705), (817, 61715, restaurant, 0.0), (2797, 57488, movie_theater, 2.805664644113288), (2281, 57455, atm_bank, 0.06412075298050063), Length: 5.26510250951085, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23573 ms|Time for PNE: 705 ms|Time for KNN: 213 ms|Time for Dijkstra: 22266 ms|Heap fetches: 34|Max heap size: 6
