Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
197290 [6, 1, 1, 1, 5] 5 [1, 3]|PNE route: [POIs: (4373, 199295, gas_station, 3.0444572579010933), (1470, 201830, coffee_shop, 0.5181472083473626), (1470, 201830, coffee_shop, 0.0), (1470, 201830, coffee_shop, 0.0), (3408, 202009, pub_bar, 0.13357036706646838), Length: 3.6961748333149247, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4373, 199295, gas_station, 3.0444572579010933), (1470, 201830, coffee_shop, 0.5181472083473626), (1470, 201830, coffee_shop, 0.0), (1470, 201830, coffee_shop, 0.0), (3408, 202009, pub_bar, 0.13357036706646838), Length: 3.6961748333149247, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 232 ms|Time for PNE: 151 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
200957 [5, 2, 5, 6, 1] 5 [0, 2]|PNE route: [POIs: (3406, 200362, pub_bar, 0.4094592623553482), (2111, 222257, atm_bank, 1.4722205233881738), (3411, 221910, pub_bar, 0.41580159909587633), (4373, 199295, gas_station, 0.862069316522062), (1470, 201830, coffee_shop, 0.5181472083473626), Length: 3.677697909708823, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3411, 221910, pub_bar, 1.465878186647646), (2111, 222257, atm_bank, 0.4158015990958764), (3411, 221910, pub_bar, 0.41580159909587633), (4373, 199295, gas_station, 0.862069316522062), (1470, 201830, coffee_shop, 0.5181472083473626), Length: 3.677697909708823, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 228491 ms|Time for PNE: 6919 ms|Time for KNN: 1162 ms|Time for Dijkstra: 220324 ms|Heap fetches: 460|Max heap size: 217
160944 [4, 3, 0, 3, 4] 5 [1, 3]|PNE route: [POIs: (3171, 164856, pharmacy, 1.4924739320920304), (2777, 166597, movie_theater, 1.430157857827534), (749, 166485, restaurant, 0.05049801772138955), (2777, 166597, movie_theater, 0.05049801772138955), (3063, 166618, pharmacy, 0.16621772815466154), Length: 3.1898455535170047, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3171, 164856, pharmacy, 1.4924739320920304), (2777, 166597, movie_theater, 1.430157857827534), (749, 166485, restaurant, 0.05049801772138955), (2777, 166597, movie_theater, 0.05049801772138955), (3063, 166618, pharmacy, 0.16621772815466154), Length: 3.1898455535170047, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 704 ms|Time for PNE: 607 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
336199 [6, 4, 2, 4, 4] 5 [1, 3]|PNE route: [POIs: (4379, 304074, gas_station, 2.711288618742077), (3042, 319687, pharmacy, 0.40282285660079326), (2488, 319907, atm_bank, 0.23097608540691594), (3042, 319687, pharmacy, 0.23097608540691594), (3042, 319687, pharmacy, 0.0), Length: 3.576063646156702, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4379, 304074, gas_station, 2.711288618742077), (3042, 319687, pharmacy, 0.40282285660079326), (2488, 319907, atm_bank, 0.23097608540691594), (3042, 319687, pharmacy, 0.23097608540691594), (3042, 319687, pharmacy, 0.0), Length: 3.576063646156702, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 153 ms|Time for PNE: 73 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
227134 [3, 0, 6, 1, 0] 5 [1, 4]|PNE route: [POIs: (2777, 166597, movie_theater, 2.907114962043508), (2069, 166612, restaurant, 0.09277147261482065), (4524, 166237, gas_station, 0.47120392169278413), (145, 166258, coffee_shop, 0.3372013501367229), (145, 166258, restaurant, 0.0), Length: 3.8082917064878354, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2777, 166597, movie_theater, 2.907114962043508), (135, 166499, restaurant, 0.12541986028442803), (4524, 166237, gas_station, 0.4556766067832244), (135, 166499, coffee_shop, 0.45567660678322436), (135, 166499, restaurant, 0.0), Length: 3.943888035894385, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 143013 ms|Time for PNE: 218 ms|Time for KNN: 390 ms|Time for Dijkstra: 142319 ms|Heap fetches: 189|Max heap size: 160
261092 [6, 1, 4, 1, 0] 5 [1, 3]|PNE route: [POIs: (4501, 262839, gas_station, 2.2425201617015933), (740, 263232, coffee_shop, 0.4016845625437415), (3204, 263316, pharmacy, 0.06730533172972379), (740, 263232, coffee_shop, 0.06730533172972379), (740, 263232, restaurant, 0.0), Length: 2.7788153877047828, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4501, 262839, gas_station, 2.2425201617015933), (740, 263232, coffee_shop, 0.4016845625437415), (3204, 263316, pharmacy, 0.06730533172972379), (740, 263232, coffee_shop, 0.06730533172972379), (740, 263232, restaurant, 0.0), Length: 2.7788153877047828, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 100 ms|Time for PNE: 19 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
82363 [3, 0, 3, 1, 6] 5 [0, 2]|PNE route: [POIs: (2751, 81959, movie_theater, 0.4136602290539715), (808, 82192, restaurant, 0.2127414950081982), (2751, 81959, movie_theater, 0.21274149500819822), (815, 82086, coffee_shop, 0.34152252830116886), (4376, 82371, gas_station, 0.6239407816473675), Length: 1.8046065290189044, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2751, 81959, movie_theater, 0.4136602290539715), (808, 82192, restaurant, 0.2127414950081982), (2751, 81959, movie_theater, 0.21274149500819822), (815, 82086, coffee_shop, 0.34152252830116886), (4376, 82371, gas_station, 0.6239407816473675), Length: 1.8046065290189044, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 264 ms|Time for PNE: 185 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
233999 [6, 5, 2, 5, 1] 5 [1, 3]|PNE route: [POIs: (4445, 237271, gas_station, 1.8226700013639794), (4190, 237249, pub_bar, 0.3290723054696771), (2419, 237278, atm_bank, 0.07514156798848891), (4189, 237322, pub_bar, 0.10071022815833244), (1889, 237322, coffee_shop, 0.0), Length: 2.327594102980478, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4445, 237271, gas_station, 1.8226700013639794), (4190, 237249, pub_bar, 0.3290723054696771), (2419, 237278, atm_bank, 0.07514156798848891), (4190, 237249, pub_bar, 0.0751415679884889), (1059, 237299, coffee_shop, 0.14213443397173217), Length: 2.4441598767823667, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 26604 ms|Time for PNE: 37 ms|Time for KNN: 57 ms|Time for Dijkstra: 26428 ms|Heap fetches: 39|Max heap size: 29
409180 [1, 3, 5, 3, 2] 5 [1, 3]|PNE route: [POIs: (1817, 423150, coffee_shop, 4.129065793617658), (2806, 424193, movie_theater, 0.47735613852886843), (4233, 424193, pub_bar, 0.0), (2806, 424193, movie_theater, 0.0), (2557, 424130, atm_bank, 0.05353988500386193), Length: 4.659961817150388, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1817, 423150, coffee_shop, 4.129065793617658), (2806, 424193, movie_theater, 0.47735613852886843), (4233, 424193, pub_bar, 0.0), (2806, 424193, movie_theater, 0.0), (2557, 424130, atm_bank, 0.05353988500386193), Length: 4.659961817150388, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 142 ms|Time for PNE: 63 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
182819 [3, 2, 0, 6, 0] 5 [2, 4]|PNE route: [POIs: (2764, 186260, movie_theater, 1.189461864953419), (2567, 186505, atm_bank, 0.6983928412486112), (97, 187370, restaurant, 0.11823269392800184), (4488, 187942, gas_station, 0.7043446976704005), (2034, 187940, restaurant, 0.17451105911056244), Length: 2.884943156910995, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2794, 166640, movie_theater, 1.973409094962439), (2201, 166188, atm_bank, 0.29857394327356623), (141, 166304, restaurant, 0.14928626057393557), (4524, 166237, gas_station, 0.23624514279471465), (141, 166304, restaurant, 0.23624514279471465), Length: 2.89375958439937, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 6304143 ms|Time for PNE: 15416 ms|Time for KNN: 15589 ms|Time for Dijkstra: 6271681 ms|Heap fetches: 10439|Max heap size: 9415
57484 [1, 0, 1, 4, 2] 5 [0, 2]|PNE route: [POIs: (1438, 57458, coffee_shop, 0.40288575360323514), (1438, 57458, restaurant, 0.0), (1438, 57458, coffee_shop, 0.0), (2878, 57458, pharmacy, 0.0), (2276, 57582, atm_bank, 0.010568225210811976), Length: 0.4134539788140471, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1438, 57458, coffee_shop, 0.40288575360323514), (1438, 57458, restaurant, 0.0), (1438, 57458, coffee_shop, 0.0), (2878, 57458, pharmacy, 0.0), (2276, 57582, atm_bank, 0.010568225210811976), Length: 0.4134539788140471, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 105 ms|Time for PNE: 24 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
