Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
67884 [0, 5, 2, 6, 0] 5 [0, 4]|PNE route: [POIs: (773, 86690, restaurant, 2.5207131608734685), (3755, 88064, pub_bar, 1.0074492184534514), (2383, 97715, atm_bank, 0.2974561812470982), (4486, 97715, gas_station, 0.0), (655, 97716, restaurant, 0.2686184559297083), Length: 4.094237016503727, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (773, 86690, restaurant, 2.5207131608734685), (4044, 95077, pub_bar, 0.8056258851210251), (2386, 95209, atm_bank, 0.22485152608524475), (4536, 86625, gas_station, 0.5066934742796311), (773, 86690, restaurant, 0.1710010195795084), Length: 4.2288850659388775, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 73581 ms|Time for PNE: 488 ms|Time for KNN: 181 ms|Time for Dijkstra: 72812 ms|Heap fetches: 130|Max heap size: 35
12797 [1, 5, 0, 1, 1] 5 [0, 4]|PNE route: [POIs: (1840, 13358, coffee_shop, 0.878164350785197), (3936, 13554, pub_bar, 0.15282664786294503), (1188, 13667, restaurant, 0.060204105760582306), (1840, 13358, coffee_shop, 0.09262254210236272), (1840, 13358, coffee_shop, 0.0), Length: 1.183817646511087, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1840, 13358, coffee_shop, 0.878164350785197), (3936, 13554, pub_bar, 0.15282664786294503), (1188, 13667, restaurant, 0.060204105760582306), (1840, 13358, coffee_shop, 0.09262254210236272), (1840, 13358, coffee_shop, 0.0), Length: 1.183817646511087, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 90 ms|Time for PNE: 8 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
391389 [0, 1, 4, 1, 0] 5 [0, 4]|PNE route: [POIs: (900, 390195, restaurant, 0.919441157017721), (900, 390195, coffee_shop, 0.0), (3081, 391440, pharmacy, 0.3632317980796005), (900, 390195, coffee_shop, 0.3632317980796005), (900, 390195, restaurant, 0.0), Length: 1.645904753176922, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (900, 390195, restaurant, 0.919441157017721), (900, 390195, coffee_shop, 0.0), (3081, 391440, pharmacy, 0.3632317980796005), (900, 390195, coffee_shop, 0.3632317980796005), (900, 390195, restaurant, 0.0), Length: 1.645904753176922, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 119 ms|Time for PNE: 37 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
166672 [4, 0, 6, 3, 4] 5 [0, 4]|PNE route: [POIs: (3092, 139312, pharmacy, 1.3979015570031184), (1, 139337, restaurant, 0.307627592208046), (4414, 139471, gas_station, 0.24937157401527585), (2773, 139144, movie_theater, 0.24783093141930856), (3312, 139296, pharmacy, 0.12192400002569247), Length: 2.324655654671441, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3312, 139296, pharmacy, 1.751090827444329), (1, 139337, restaurant, 0.0828622710566418), (4414, 139471, gas_station, 0.24937157401527585), (2773, 139144, movie_theater, 0.24783093141930856), (3312, 139296, pharmacy, 0.12192400002569247), Length: 2.453079603961248, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 272466 ms|Time for PNE: 1070 ms|Time for KNN: 1036 ms|Time for Dijkstra: 270260 ms|Heap fetches: 408|Max heap size: 47
351562 [5, 5, 3, 3, 5] 5 [0, 4]|PNE route: [POIs: (3815, 275476, pub_bar, 2.073404407925052), (3815, 275476, pub_bar, 0.0), (2747, 275432, movie_theater, 0.47184390331685233), (2747, 275432, movie_theater, 0.0), (3816, 275431, pub_bar, 0.08231787822020745), Length: 2.6275661894621116, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3816, 275431, pub_bar, 2.528808664369015), (3816, 275431, pub_bar, 0.0), (2747, 275432, movie_theater, 0.08231787822020745), (2747, 275432, movie_theater, 0.0), (3816, 275431, pub_bar, 0.08231787822020745), Length: 2.69344442080943, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 8739 ms|Time for PNE: 62 ms|Time for KNN: 19 ms|Time for Dijkstra: 8560 ms|Heap fetches: 16|Max heap size: 6
247113 [1, 0, 5, 3, 1] 5 [0, 4]|PNE route: [POIs: (213, 240835, coffee_shop, 2.061992805203387), (213, 240835, restaurant, 0.0), (3623, 240100, pub_bar, 2.6358526776671796), (2721, 241637, movie_theater, 0.5315582802091248), (835, 241496, coffee_shop, 0.02460201233619288), Length: 5.254005775415885, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (829, 241564, coffee_shop, 5.026869934832944), (829, 241564, restaurant, 0.0), (3810, 241658, pub_bar, 0.18779398107817674), (2721, 241637, movie_theater, 0.1918333457593443), (829, 241564, coffee_shop, 0.14708594208885312), Length: 5.5535832037593185, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 61722 ms|Time for PNE: 331 ms|Time for KNN: 218 ms|Time for Dijkstra: 61074 ms|Heap fetches: 116|Max heap size: 38
313941 [6, 0, 6, 3, 6] 5 [0, 4]|PNE route: [POIs: (4402, 312684, gas_station, 0.3593883480363568), (33, 313600, restaurant, 0.4829652406479129), (4379, 304074, gas_station, 2.1806869211793107), (2694, 301946, movie_theater, 0.6532379283503441), (4379, 304074, gas_station, 0.653237928350344), Length: 4.329516366564269, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4379, 304074, gas_station, 2.681271448514608), (1803, 319938, restaurant, 0.26132251821798674), (4379, 304074, gas_station, 0.2613225182179867), (2694, 301946, movie_theater, 0.6532379283503441), (4379, 304074, gas_station, 0.653237928350344), Length: 4.510392341651269, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 296418 ms|Time for PNE: 1983 ms|Time for KNN: 2322 ms|Time for Dijkstra: 292012 ms|Heap fetches: 448|Max heap size: 48
203457 [5, 4, 4, 0, 5] 5 [0, 4]|PNE route: [POIs: (3524, 203467, pub_bar, 0.22839262704958402), (3304, 204958, pharmacy, 0.12628974654669853), (3304, 204958, pharmacy, 0.0), (1378, 204958, restaurant, 0.0), (3524, 203467, pub_bar, 0.12628974654669853), Length: 0.4809721201429811, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3524, 203467, pub_bar, 0.22839262704958402), (3304, 204958, pharmacy, 0.12628974654669853), (3304, 204958, pharmacy, 0.0), (1378, 204958, restaurant, 0.0), (3524, 203467, pub_bar, 0.12628974654669853), Length: 0.4809721201429811, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 95 ms|Time for PNE: 12 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
254668 [5, 6, 0, 0, 5] 5 [0, 4]|PNE route: [POIs: (3612, 257423, pub_bar, 0.6978507562816729), (4485, 256936, gas_station, 0.5620475056574736), (341, 257423, restaurant, 0.5620475056574736), (341, 257423, restaurant, 0.0), (3612, 257423, pub_bar, 0.0), Length: 1.8219457675966202, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3612, 257423, pub_bar, 0.6978507562816729), (4485, 256936, gas_station, 0.5620475056574736), (341, 257423, restaurant, 0.5620475056574736), (341, 257423, restaurant, 0.0), (3612, 257423, pub_bar, 0.0), Length: 1.8219457675966202, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 133 ms|Time for PNE: 51 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
174473 [3, 5, 5, 1, 3] 5 [0, 4]|PNE route: [POIs: (2717, 174615, movie_theater, 0.8837370301410775), (3855, 174964, pub_bar, 0.15888675886962086), (3855, 174964, pub_bar, 0.0), (1029, 174964, coffee_shop, 0.0), (2717, 174615, movie_theater, 0.15888675886962086), Length: 1.2015105478803192, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2717, 174615, movie_theater, 0.8837370301410775), (3855, 174964, pub_bar, 0.15888675886962086), (3855, 174964, pub_bar, 0.0), (1029, 174964, coffee_shop, 0.0), (2717, 174615, movie_theater, 0.15888675886962086), Length: 1.2015105478803192, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 210 ms|Time for PNE: 127 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
