Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
215616 [5, 0, 6, 6, 0] 5 [1, 4]|PNE route: [POIs: (3959, 244951, pub_bar, 1.763458245689845), (1762, 216803, restaurant, 1.5901453949236433), (4514, 216872, gas_station, 0.05493875453926289), (4514, 216872, gas_station, 0.0), (1762, 216803, restaurant, 0.0549387545392629), Length: 3.463481149692014, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3959, 244951, pub_bar, 1.763458245689845), (1762, 216803, restaurant, 1.5901453949236433), (4514, 216872, gas_station, 0.05493875453926289), (4514, 216872, gas_station, 0.0), (1762, 216803, restaurant, 0.0549387545392629), Length: 3.463481149692014, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 167 ms|Time for PNE: 58 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
84522 [5, 3, 6, 5, 2] 5 [0, 3]|PNE route: [POIs: (3756, 88106, pub_bar, 2.642564148332415), (2682, 95231, movie_theater, 1.1579978138555744), (4486, 97715, gas_station, 0.6027646808110814), (3755, 88064, pub_bar, 0.2974561812470982), (2382, 97644, atm_bank, 0.27797012301268376), Length: 4.978752947258853, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3755, 88064, pub_bar, 2.9319103429711992), (2682, 95231, movie_theater, 0.8686516192167905), (4486, 97715, gas_station, 0.6027646808110814), (3755, 88064, pub_bar, 0.2974561812470982), (2382, 97644, atm_bank, 0.27797012301268376), Length: 4.978752947258853, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 94652 ms|Time for PNE: 1192 ms|Time for KNN: 484 ms|Time for Dijkstra: 92731 ms|Heap fetches: 66|Max heap size: 23
357684 [0, 5, 3, 3, 0] 5 [0, 4]|PNE route: [POIs: (1649, 317030, restaurant, 2.372329002348743), (4173, 317030, pub_bar, 0.0), (2792, 340029, movie_theater, 0.8851460966563043), (2792, 340029, movie_theater, 0.0), (1819, 340348, restaurant, 0.43996571461994677), Length: 3.697440813624994, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (462, 310748, restaurant, 3.705995404042951), (3689, 310695, pub_bar, 0.128731425591623), (2695, 310697, movie_theater, 0.03200136266764387), (2695, 310697, movie_theater, 0.0), (462, 310748, restaurant, 0.09673006292397915), Length: 3.963458255226197, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 460788 ms|Time for PNE: 3307 ms|Time for KNN: 2681 ms|Time for Dijkstra: 454638 ms|Heap fetches: 294|Max heap size: 39
76829 [3, 5, 4, 5, 3] 5 [1, 3]|PNE route: [POIs: (2731, 119050, movie_theater, 2.8942702515513785), (4184, 119050, pub_bar, 0.0), (3307, 118988, pharmacy, 0.2683037827323315), (4184, 119050, pub_bar, 0.26830378273233146), (2731, 119050, movie_theater, 0.0), Length: 3.430877817016041, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2731, 119050, movie_theater, 2.8942702515513785), (4184, 119050, pub_bar, 0.0), (3307, 118988, pharmacy, 0.2683037827323315), (4184, 119050, pub_bar, 0.26830378273233146), (2731, 119050, movie_theater, 0.0), Length: 3.430877817016041, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 279 ms|Time for PNE: 143 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
404804 [1, 0, 1, 0, 6] 5 [0, 2]|PNE route: [POIs: (457, 349651, coffee_shop, 1.7255004099568616), (457, 349651, restaurant, 0.0), (457, 349651, coffee_shop, 0.0), (457, 349651, restaurant, 0.0), (4484, 349393, gas_station, 0.6987740737473284), Length: 2.42427448370419, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (457, 349651, coffee_shop, 1.7255004099568616), (457, 349651, restaurant, 0.0), (457, 349651, coffee_shop, 0.0), (457, 349651, restaurant, 0.0), (4484, 349393, gas_station, 0.6987740737473284), Length: 2.42427448370419, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 383 ms|Time for PNE: 256 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
225857 [5, 5, 2, 5, 6] 5 [1, 3]|PNE route: [POIs: (4140, 225524, pub_bar, 0.7734447947516241), (4049, 166126, pub_bar, 0.5411600758550521), (2534, 166255, atm_bank, 0.06843797575766664), (4049, 166126, pub_bar, 0.06843797575766664), (4524, 166237, gas_station, 0.37093033510463497), Length: 1.8224111572266442, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4140, 225524, pub_bar, 0.7734447947516241), (4049, 166126, pub_bar, 0.5411600758550521), (2534, 166255, atm_bank, 0.06843797575766664), (4049, 166126, pub_bar, 0.06843797575766664), (4524, 166237, gas_station, 0.37093033510463497), Length: 1.8224111572266442, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4225 ms|Time for PNE: 4097 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
277201 [1, 0, 2, 0, 2] 5 [1, 3]|PNE route: [POIs: (810, 277793, coffee_shop, 1.2432710150834434), (810, 277793, restaurant, 0.0), (2592, 278204, atm_bank, 0.3900402809146819), (847, 278293, restaurant, 0.06856294885578482), (2592, 278204, atm_bank, 0.06856294885578482), Length: 1.770437193709695, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (847, 278293, coffee_shop, 1.6974206519953758), (847, 278293, restaurant, 0.0), (2592, 278204, atm_bank, 0.06856294885578482), (847, 278293, restaurant, 0.06856294885578482), (2592, 278204, atm_bank, 0.06856294885578482), Length: 1.9031094985627304, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17668 ms|Time for PNE: 29 ms|Time for KNN: 56 ms|Time for Dijkstra: 17330 ms|Heap fetches: 27|Max heap size: 13
193263 [0, 6, 0, 0, 6] 5 [0, 2]|PNE route: [POIs: (1457, 193650, restaurant, 0.8579908337930728), (4438, 194897, gas_station, 2.3677980162351244), (1805, 211869, restaurant, 1.0646313453130989), (1805, 211869, restaurant, 0.0), (4438, 194897, gas_station, 1.0646313453130989), Length: 5.3550515406543955, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (704, 210325, restaurant, 3.523323632183972), (4438, 194897, gas_station, 1.2413489462617893), (704, 210325, restaurant, 1.2413489462617893), (704, 210325, restaurant, 0.0), (4438, 194897, gas_station, 1.2413489462617893), Length: 7.24737047096934, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 117261 ms|Time for PNE: 300 ms|Time for KNN: 689 ms|Time for Dijkstra: 115974 ms|Heap fetches: 93|Max heap size: 42
139393 [1, 5, 3, 5, 1] 5 [1, 3]|PNE route: [POIs: (1302, 139173, coffee_shop, 0.7751515652864105), (4001, 139173, pub_bar, 0.0), (2720, 139158, movie_theater, 0.22293407756755676), (4001, 139173, pub_bar, 0.22293407756755673), (1302, 139173, coffee_shop, 0.0), Length: 1.221019720421524, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1302, 139173, coffee_shop, 0.7751515652864105), (4001, 139173, pub_bar, 0.0), (2720, 139158, movie_theater, 0.22293407756755676), (4001, 139173, pub_bar, 0.22293407756755673), (1302, 139173, coffee_shop, 0.0), Length: 1.221019720421524, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 520 ms|Time for PNE: 391 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
238143 [5, 4, 5, 2, 3] 5 [0, 2]|PNE route: [POIs: (3614, 237707, pub_bar, 0.7958567680381524), (3046, 237299, pharmacy, 0.7730223779215204), (4027, 237046, pub_bar, 0.2788382843924784), (2180, 237046, atm_bank, 0.0), (2804, 237364, movie_theater, 0.3325727402301793), Length: 2.1802901705823303, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3614, 237707, pub_bar, 0.7958567680381524), (3053, 237591, pharmacy, 0.16444616191318542), (3614, 237707, pub_bar, 0.16444616191318542), (2619, 238686, atm_bank, 0.4858921334871909), (2730, 237539, movie_theater, 0.7290729735196766), Length: 2.3397141988713908, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 130833 ms|Time for PNE: 1070 ms|Time for KNN: 331 ms|Time for Dijkstra: 129119 ms|Heap fetches: 145|Max heap size: 67
