Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
86363 [6, 0, 2, 0, 5] 5 [1, 3]|PNE route: [POIs: (4536, 86625, gas_station, 0.671747166947329), (773, 86690, restaurant, 0.1710010195795084), (2385, 86690, atm_bank, 0.0), (773, 86690, restaurant, 0.0), (4044, 95077, pub_bar, 0.8056258851210251), Length: 1.6483740716478625, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4536, 86625, gas_station, 0.671747166947329), (773, 86690, restaurant, 0.1710010195795084), (2385, 86690, atm_bank, 0.0), (773, 86690, restaurant, 0.0), (4044, 95077, pub_bar, 0.8056258851210251), Length: 1.6483740716478625, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 364 ms|Time for PNE: 234 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
285135 [2, 3, 2, 4, 6] 5 [0, 2]|PNE route: [POIs: (2167, 363416, atm_bank, 8.136877928720482), (2727, 363315, movie_theater, 0.15912783688830506), (2167, 363416, atm_bank, 0.15912783688830506), (3014, 363419, pharmacy, 0.11541312930332348), (4426, 361068, gas_station, 2.4977190722369467), Length: 11.068265804037361, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2167, 363416, atm_bank, 8.136877928720482), (2727, 363315, movie_theater, 0.15912783688830506), (2167, 363416, atm_bank, 0.15912783688830506), (3014, 363419, pharmacy, 0.11541312930332348), (4426, 361068, gas_station, 2.4977190722369467), Length: 11.068265804037361, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 539 ms|Time for PNE: 430 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
334000 [4, 5, 2, 4, 6] 5 [0, 3]|PNE route: [POIs: (3052, 333555, pharmacy, 0.6515129008798909), (3823, 333555, pub_bar, 0.0), (2345, 344668, atm_bank, 0.6744497144583016), (3216, 344691, pharmacy, 0.06976831526018938), (4446, 345625, gas_station, 0.6815669758487075), Length: 2.0772979064470896, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3099, 332805, pharmacy, 0.622217556202523), (3487, 332318, pub_bar, 0.42005250243783265), (2541, 332386, atm_bank, 0.11552578240300734), (3099, 332805, pharmacy, 0.36764901968305225), (4447, 332768, gas_station, 0.5849151529458524), Length: 2.1103600136722673, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 177789 ms|Time for PNE: 2554 ms|Time for KNN: 482 ms|Time for Dijkstra: 174509 ms|Heap fetches: 115|Max heap size: 19
406210 [3, 3, 2, 1, 3] 5 [1, 4]|PNE route: [POIs: (2697, 335053, movie_theater, 5.067031892673046), (2697, 335053, movie_theater, 0.0), (2349, 335178, atm_bank, 0.07728252023476088), (1691, 331722, coffee_shop, 0.40740496232092205), (2697, 335053, movie_theater, 0.3800134202291809), Length: 5.9317327954579095, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2697, 335053, movie_theater, 5.067031892673046), (2697, 335053, movie_theater, 0.0), (2349, 335178, atm_bank, 0.07728252023476088), (1691, 331722, coffee_shop, 0.40740496232092205), (2697, 335053, movie_theater, 0.3800134202291809), Length: 5.9317327954579095, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 643 ms|Time for PNE: 515 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
288341 [6, 4, 6, 4, 2] 5 [0, 2]|PNE route: [POIs: (4393, 288927, gas_station, 1.0090540463648028), (2872, 289298, pharmacy, 1.068366273987903), (4393, 288927, gas_station, 1.0683662739879027), (2872, 289298, pharmacy, 1.068366273987903), (2130, 290109, atm_bank, 1.1471112924093883), Length: 5.3612641607379, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4393, 288927, gas_station, 1.0090540463648028), (2872, 289298, pharmacy, 1.068366273987903), (4393, 288927, gas_station, 1.0683662739879027), (2872, 289298, pharmacy, 1.068366273987903), (2130, 290109, atm_bank, 1.1471112924093883), Length: 5.3612641607379, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 160 ms|Time for PNE: 31 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
368233 [5, 5, 5, 6, 0] 5 [0, 2]|PNE route: [POIs: (3685, 341714, pub_bar, 1.9785253983320208), (3685, 341714, pub_bar, 0.0), (3685, 341714, pub_bar, 0.0), (4387, 367074, gas_station, 1.1568383747137978), (22, 367071, restaurant, 0.04043689702712226), Length: 3.1758006700729404, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3685, 341714, pub_bar, 1.9785253983320208), (3685, 341714, pub_bar, 0.0), (3685, 341714, pub_bar, 0.0), (4387, 367074, gas_station, 1.1568383747137978), (22, 367071, restaurant, 0.04043689702712226), Length: 3.1758006700729404, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2174 ms|Time for PNE: 2047 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
261105 [6, 2, 0, 6, 0] 5 [2, 4]|PNE route: [POIs: (4501, 262839, gas_station, 2.060068287212039), (2399, 263232, atm_bank, 0.4016845625437415), (740, 263232, restaurant, 0.0), (4501, 262839, gas_station, 0.4016845625437415), (334, 262995, restaurant, 0.2646305923008423), Length: 3.1280680046003644, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4501, 262839, gas_station, 2.060068287212039), (2399, 263232, atm_bank, 0.4016845625437415), (740, 263232, restaurant, 0.0), (4501, 262839, gas_station, 0.4016845625437415), (740, 263232, restaurant, 0.4016845625437415), Length: 3.2651219748432636, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2908 ms|Time for PNE: 131 ms|Time for KNN: 0 ms|Time for Dijkstra: 2650 ms|Heap fetches: 1|Max heap size: 1
392792 [1, 6, 1, 2, 3] 5 [0, 2]|PNE route: [POIs: (695, 237584, coffee_shop, 1.8548519806896966), (4445, 237271, gas_station, 0.32305238107678497), (1059, 237299, coffee_shop, 0.39144348022911274), (2180, 237046, atm_bank, 0.2788382843924784), (2804, 237364, movie_theater, 0.3325727402301793), Length: 3.180758866618252, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1059, 237299, coffee_shop, 2.22413764337557), (4445, 237271, gas_station, 0.3914434802291128), (1059, 237299, coffee_shop, 0.39144348022911274), (2180, 237046, atm_bank, 0.2788382843924784), (2804, 237364, movie_theater, 0.3325727402301793), Length: 3.618435628456453, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 92048 ms|Time for PNE: 887 ms|Time for KNN: 284 ms|Time for Dijkstra: 90625 ms|Heap fetches: 68|Max heap size: 22
352734 [4, 3, 5, 2, 3] 5 [1, 4]|PNE route: [POIs: (2980, 311332, pharmacy, 1.9330974332044673), (2695, 310697, movie_theater, 1.045934583035356), (3688, 311178, pub_bar, 0.147887097485929), (2109, 311437, atm_bank, 0.562886134467635), (2695, 310697, movie_theater, 0.6790983211548636), Length: 4.368903569348251, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2980, 311332, pharmacy, 1.9330974332044673), (2695, 310697, movie_theater, 1.045934583035356), (3688, 311178, pub_bar, 0.147887097485929), (2109, 311437, atm_bank, 0.562886134467635), (2695, 310697, movie_theater, 0.6790983211548636), Length: 4.368903569348251, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1134 ms|Time for PNE: 1005 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
305887 [3, 3, 6, 3, 4] 5 [1, 3]|PNE route: [POIs: (2695, 310697, movie_theater, 2.364345093847949), (2695, 310697, movie_theater, 0.0), (4481, 310526, gas_station, 0.9185823850637844), (2695, 310697, movie_theater, 0.9185823850637843), (3301, 309687, pharmacy, 0.8137435722126977), Length: 5.015253436188215, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2695, 310697, movie_theater, 2.364345093847949), (2695, 310697, movie_theater, 0.0), (4481, 310526, gas_station, 0.9185823850637844), (2695, 310697, movie_theater, 0.9185823850637843), (3301, 309687, pharmacy, 0.8137435722126977), Length: 5.015253436188215, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 758 ms|Time for PNE: 630 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
