Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
348345 [5, 3, 5, 4, 3] 5 [1, 4]|PNE route: [POIs: (3555, 339547, pub_bar, 2.6697919324678248), (2698, 326582, movie_theater, 1.7014324905882656), (4095, 326434, pub_bar, 0.16687123619015093), (3267, 326578, pharmacy, 0.18110376054665267), (2698, 326582, movie_theater, 0.014232524356501769), Length: 4.7334319441493955, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3555, 339547, pub_bar, 2.6697919324678248), (2698, 326582, movie_theater, 1.7014324905882656), (4095, 326434, pub_bar, 0.16687123619015093), (3267, 326578, pharmacy, 0.18110376054665267), (2698, 326582, movie_theater, 0.014232524356501769), Length: 4.7334319441493955, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1728 ms|Time for PNE: 1627 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
227108 [5, 3, 5, 2, 3] 5 [1, 4]|PNE route: [POIs: (3427, 227342, pub_bar, 0.4646608791274322), (2753, 233915, movie_theater, 1.7434385035220263), (3687, 233899, pub_bar, 0.09585278426330793), (2263, 233005, atm_bank, 0.36630796647222524), (2753, 233915, movie_theater, 0.46216075073553314), Length: 3.132420884120525, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3427, 227342, pub_bar, 0.4646608791274322), (2753, 233915, movie_theater, 1.7434385035220263), (3687, 233899, pub_bar, 0.09585278426330793), (2263, 233005, atm_bank, 0.36630796647222524), (2753, 233915, movie_theater, 0.46216075073553314), Length: 3.132420884120525, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 888 ms|Time for PNE: 805 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
39432 [6, 3, 5, 6, 1] 5 [0, 3]|PNE route: [POIs: (4400, 50482, gas_station, 8.949289634854916), (2782, 56332, movie_theater, 3.1223274374259233), (3454, 57456, pub_bar, 0.06354205223533095), (4401, 55518, gas_station, 0.9455064873528352), (1477, 56500, coffee_shop, 0.680783688666615), Length: 13.76144930053562, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4401, 55518, gas_station, 11.86947366392463), (2782, 56332, movie_theater, 0.8819644351175043), (3454, 57456, pub_bar, 0.06354205223533095), (4401, 55518, gas_station, 0.9455064873528352), (1477, 56500, coffee_shop, 0.680783688666615), Length: 14.441270327296916, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 140659 ms|Time for PNE: 952 ms|Time for KNN: 565 ms|Time for Dijkstra: 138956 ms|Heap fetches: 286|Max heap size: 70
15841 [5, 4, 4, 5, 0] 5 [0, 3]|PNE route: [POIs: (4207, 19499, pub_bar, 1.5422180303816524), (3356, 16150, pharmacy, 0.34869719933560483), (3356, 16150, pharmacy, 0.0), (4207, 19499, pub_bar, 0.34869719933560483), (370, 16151, restaurant, 0.17326550769613253), Length: 2.4128779367489948, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4207, 19499, pub_bar, 1.5422180303816524), (3356, 16150, pharmacy, 0.34869719933560483), (3356, 16150, pharmacy, 0.0), (4207, 19499, pub_bar, 0.34869719933560483), (370, 16151, restaurant, 0.17326550769613253), Length: 2.4128779367489948, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 94 ms|Time for PNE: 11 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
162363 [5, 3, 3, 5, 4] 5 [0, 3]|PNE route: [POIs: (4213, 163598, pub_bar, 0.9040844224227667), (2816, 163599, movie_theater, 0.014975739526373308), (2816, 163599, movie_theater, 0.0), (4213, 163598, pub_bar, 0.014975739526373308), (3246, 162265, pharmacy, 0.8544455759644801), Length: 1.7884814774399933, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4213, 163598, pub_bar, 0.9040844224227667), (2816, 163599, movie_theater, 0.014975739526373308), (2816, 163599, movie_theater, 0.0), (4213, 163598, pub_bar, 0.014975739526373308), (3246, 162265, pharmacy, 0.8544455759644801), Length: 1.7884814774399933, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 203 ms|Time for PNE: 121 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
67565 [1, 2, 0, 1, 3] 5 [0, 3]|PNE route: [POIs: (642, 76890, coffee_shop, 1.5702294520424565), (2332, 78949, atm_bank, 1.0177568693842813), (654, 81219, restaurant, 0.9435839555686363), (654, 81219, coffee_shop, 0.0), (2751, 81959, movie_theater, 0.7802338105126292), Length: 4.311804087508003, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (642, 76890, coffee_shop, 1.5702294520424565), (2314, 76894, atm_bank, 0.15238979818894058), (642, 76890, restaurant, 0.1523897981889406), (642, 76890, coffee_shop, 0.0), (2751, 81959, movie_theater, 2.575098514857579), Length: 4.450107563277917, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 101700 ms|Time for PNE: 10988 ms|Time for KNN: 412 ms|Time for Dijkstra: 90118 ms|Heap fetches: 370|Max heap size: 215
408384 [5, 0, 5, 5, 2] 5 [0, 3]|PNE route: [POIs: (3611, 404209, pub_bar, 3.911784423768562), (496, 404223, restaurant, 0.08246096085932365), (3611, 404209, pub_bar, 0.08246096085932365), (3611, 404209, pub_bar, 0.0), (2336, 349776, atm_bank, 0.5665587973423438), Length: 4.643265142829553, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3611, 404209, pub_bar, 3.911784423768562), (496, 404223, restaurant, 0.08246096085932365), (3611, 404209, pub_bar, 0.08246096085932365), (3611, 404209, pub_bar, 0.0), (2336, 349776, atm_bank, 0.5665587973423438), Length: 4.643265142829553, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 236 ms|Time for PNE: 151 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
256491 [3, 1, 6, 3, 4] 5 [0, 3]|PNE route: [POIs: (2722, 255396, movie_theater, 0.8221156713227097), (617, 252644, coffee_shop, 1.6013766794694202), (4515, 252558, gas_station, 0.4226298574296198), (2722, 255396, movie_theater, 1.1787468220398007), (3139, 255317, pharmacy, 0.10573747072833585), Length: 4.130606500989886, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2722, 255396, movie_theater, 0.8221156713227097), (617, 252644, coffee_shop, 1.6013766794694202), (4515, 252558, gas_station, 0.4226298574296198), (2722, 255396, movie_theater, 1.1787468220398007), (3139, 255317, pharmacy, 0.10573747072833585), Length: 4.130606500989886, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 190 ms|Time for PNE: 105 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
227393 [3, 2, 2, 2, 2] 5 [1, 4]|PNE route: [POIs: (2753, 233915, movie_theater, 1.739336690328605), (2263, 233005, atm_bank, 0.4621607507355332), (2263, 233005, atm_bank, 0.0), (2263, 233005, atm_bank, 0.0), (2263, 233005, atm_bank, 0.0), Length: 2.201497441064138, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2753, 233915, movie_theater, 1.739336690328605), (2263, 233005, atm_bank, 0.4621607507355332), (2263, 233005, atm_bank, 0.0), (2263, 233005, atm_bank, 0.0), (2263, 233005, atm_bank, 0.0), Length: 2.201497441064138, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 92 ms|Time for PNE: 8 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
88441 [5, 5, 4, 4, 5] 5 [1, 4]|PNE route: [POIs: (3756, 88106, pub_bar, 0.36923339594886284), (3756, 88106, pub_bar, 0.0), (3187, 88073, pharmacy, 0.07891799540295169), (3187, 88073, pharmacy, 0.0), (3756, 88106, pub_bar, 0.07891799540295168), Length: 0.5270693867547662, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3756, 88106, pub_bar, 0.36923339594886284), (3756, 88106, pub_bar, 0.0), (3187, 88073, pharmacy, 0.07891799540295169), (3187, 88073, pharmacy, 0.0), (3756, 88106, pub_bar, 0.07891799540295168), Length: 0.5270693867547662, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 89 ms|Time for PNE: 4 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
