Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
324108 [3, 2, 4, 6, 4] 5 [2, 4]|PNE route: [POIs: (2754, 324051, movie_theater, 0.3865073307983952), (2459, 324018, atm_bank, 0.7116186715621174), (3042, 319687, pharmacy, 0.855718128893173), (4379, 304074, gas_station, 0.40282285660079326), (3042, 319687, pharmacy, 0.40282285660079326), Length: 2.7594898444552727, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2754, 324051, movie_theater, 0.3865073307983952), (2459, 324018, atm_bank, 0.7116186715621174), (3042, 319687, pharmacy, 0.855718128893173), (4379, 304074, gas_station, 0.40282285660079326), (3042, 319687, pharmacy, 0.40282285660079326), Length: 2.7594898444552727, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 16262 ms|Time for PNE: 16134 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
108651 [2, 3, 5, 2, 5] 5 [0, 3]|PNE route: [POIs: (2307, 107723, atm_bank, 0.8554750298762628), (2701, 101743, movie_theater, 1.7244959066756884), (4009, 101695, pub_bar, 0.41764659188762), (2255, 101762, atm_bank, 0.21262076001733374), (4009, 101695, pub_bar, 0.21262076001733377), Length: 3.4228590484742387, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2515, 101767, atm_bank, 1.9325673828258871), (2701, 101743, movie_theater, 0.6748250492016081), (3797, 101585, pub_bar, 0.6303339809805616), (2515, 101767, atm_bank, 0.12432517891292533), (3797, 101585, pub_bar, 0.12432517891292531), Length: 3.4863767708339073, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 225490 ms|Time for PNE: 1364 ms|Time for KNN: 573 ms|Time for Dijkstra: 223288 ms|Heap fetches: 161|Max heap size: 62
383353 [6, 2, 6, 2, 6] 5 [1, 3]|PNE route: [POIs: (4410, 380690, gas_station, 1.9874969517060257), (2250, 380705, atm_bank, 0.3010012827867023), (4410, 380690, gas_station, 0.30100128278670235), (2250, 380705, atm_bank, 0.3010012827867023), (4410, 380690, gas_station, 0.30100128278670235), Length: 3.191502082852835, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4410, 380690, gas_station, 1.9874969517060257), (2250, 380705, atm_bank, 0.3010012827867023), (4410, 380690, gas_station, 0.30100128278670235), (2250, 380705, atm_bank, 0.3010012827867023), (4410, 380690, gas_station, 0.30100128278670235), Length: 3.191502082852835, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 339 ms|Time for PNE: 211 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
428567 [4, 1, 2, 4, 2] 5 [2, 4]|PNE route: [POIs: (3386, 416535, pharmacy, 3.987711573351834), (519, 417729, coffee_shop, 0.7154685010944588), (2555, 416528, atm_bank, 0.6982605995567112), (3386, 416535, pharmacy, 0.03775483068940723), (2555, 416528, atm_bank, 0.03775483068940723), Length: 5.476950335381819, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3386, 416535, pharmacy, 3.987711573351834), (519, 417729, coffee_shop, 0.7154685010944588), (2555, 416528, atm_bank, 0.6982605995567112), (3386, 416535, pharmacy, 0.03775483068940723), (2555, 416528, atm_bank, 0.03775483068940723), Length: 5.476950335381819, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 192 ms|Time for PNE: 63 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
421521 [0, 2, 5, 2, 5] 5 [1, 3]|PNE route: [POIs: (182, 378056, restaurant, 1.3554847876785847), (2107, 377957, atm_bank, 0.03483959072346227), (3512, 378266, pub_bar, 0.22361582571944882), (2107, 377957, atm_bank, 0.22361582571944882), (3512, 378266, pub_bar, 0.22361582571944882), Length: 2.0611718555603935, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (182, 378056, restaurant, 1.3554847876785847), (2107, 377957, atm_bank, 0.03483959072346227), (3512, 378266, pub_bar, 0.22361582571944882), (2107, 377957, atm_bank, 0.22361582571944882), (3512, 378266, pub_bar, 0.22361582571944882), Length: 2.0611718555603935, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 342 ms|Time for PNE: 213 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
278422 [3, 4, 3, 1, 4] 5 [1, 4]|PNE route: [POIs: (2723, 271215, movie_theater, 0.953475367896591), (2854, 272358, pharmacy, 1.4297854475901455), (2747, 275432, movie_theater, 3.5732928163418594), (2029, 275359, coffee_shop, 0.3073110298188722), (3228, 275384, pharmacy, 0.1631232751698417), Length: 6.42698793681731, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2747, 275432, movie_theater, 5.26517323372702), (3228, 275384, pharmacy, 0.47043430498871386), (2747, 275432, movie_theater, 0.4704343049887139), (2029, 275359, coffee_shop, 0.3073110298188722), (3228, 275384, pharmacy, 0.1631232751698417), Length: 6.676476148693162, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 32262 ms|Time for PNE: 578 ms|Time for KNN: 350 ms|Time for Dijkstra: 31181 ms|Heap fetches: 30|Max heap size: 8
17681 [2, 5, 5, 2, 5] 5 [0, 3]|PNE route: [POIs: (2490, 13563, atm_bank, 0.6329417675444892), (4089, 13556, pub_bar, 0.147139001598401), (4089, 13556, pub_bar, 0.0), (2227, 13551, atm_bank, 0.02075596481827038), (4089, 13556, pub_bar, 0.02075596481827038), Length: 0.8215926987794309, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2227, 13551, atm_bank, 0.7593248043246198), (4089, 13556, pub_bar, 0.02075596481827038), (4089, 13556, pub_bar, 0.0), (2227, 13551, atm_bank, 0.02075596481827038), (4089, 13556, pub_bar, 0.02075596481827038), Length: 0.8215926987794309, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 24922 ms|Time for PNE: 79 ms|Time for KNN: 30 ms|Time for Dijkstra: 24532 ms|Heap fetches: 16|Max heap size: 6
315148 [2, 6, 4, 3, 2] 5 [0, 4]|PNE route: [POIs: (2331, 309716, atm_bank, 2.7330588938035385), (4481, 310526, gas_station, 0.7461169781575918), (3301, 309687, pharmacy, 0.7418107907565474), (2695, 310697, movie_theater, 0.8137435722126979), (2109, 311437, atm_bank, 0.6790983211548633), Length: 5.7138285560852395, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2331, 309716, atm_bank, 2.7330588938035385), (4481, 310526, gas_station, 0.7461169781575918), (3301, 309687, pharmacy, 0.7418107907565474), (2741, 310716, movie_theater, 0.8081583862656132), (2331, 309716, atm_bank, 0.8330221749718228), Length: 5.8621672239551135, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 154586 ms|Time for PNE: 4582 ms|Time for KNN: 1019 ms|Time for Dijkstra: 148831 ms|Heap fetches: 96|Max heap size: 21
82664 [2, 4, 4, 4, 5] 5 [1, 3]|PNE route: [POIs: (2081, 121476, atm_bank, 1.0591585286865286), (3208, 121476, pharmacy, 0.0), (3208, 121476, pharmacy, 0.0), (3208, 121476, pharmacy, 0.0), (3848, 121476, pub_bar, 0.0), Length: 1.0591585286865286, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2081, 121476, atm_bank, 1.0591585286865286), (3208, 121476, pharmacy, 0.0), (3208, 121476, pharmacy, 0.0), (3208, 121476, pharmacy, 0.0), (3848, 121476, pub_bar, 0.0), Length: 1.0591585286865286, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 357 ms|Time for PNE: 229 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
93161 [5, 0, 2, 1, 2] 5 [2, 4]|PNE route: [POIs: (4122, 103047, pub_bar, 1.0026092848510328), (1548, 103389, restaurant, 0.2201596943653755), (2343, 103389, atm_bank, 0.0), (1548, 103389, coffee_shop, 0.0), (2343, 103389, atm_bank, 0.0), Length: 1.2227689792164083, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4122, 103047, pub_bar, 1.0026092848510328), (1548, 103389, restaurant, 0.2201596943653755), (2343, 103389, atm_bank, 0.0), (1548, 103389, coffee_shop, 0.0), (2343, 103389, atm_bank, 0.0), Length: 1.2227689792164083, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 168 ms|Time for PNE: 41 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
