POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
167,13.295656,52.49762,437405,0.485
168,13.495381,52.504623,332599,0.936
169,13.4199095,52.60668,206143,0.194
170,13.297685,52.49571,149113,0.565
171,13.206948,52.561848,60281,0.119
172,13.558261,52.50534,185145,0.194
173,13.579611,52.459267,141585,0.413
174,13.435617,52.494198,329136,0.295
175,13.577067,52.54957,368534,0.153
176,13.208297,52.557667,132236,0.915
177,13.208809,52.562145,216658,0.843
178,13.356677,52.48606,494559,0.824
179,13.420086,52.542004,320407,0.541
180,13.308324,52.511475,142915,0.446
181,13.305522,52.511166,7116,0.216
182,13.305662,52.50947,5500,0.208
183,13.306729,52.509,80076,0.163
184,13.381341,52.552753,468635,0.536
185,13.382799,52.55144,267116,0.18
186,13.307126,52.44667,199412,0.233
187,13.496768,52.512035,311640,0.039
188,13.315713,52.441437,139790,0.433
189,13.315043,52.447666,298879,0.351
190,13.3441925,52.47902,441722,0.193
191,13.355018,52.48572,259286,0.811
192,13.305026,52.525528,52275,0.591
193,13.496752,52.415318,353731,0.222
194,13.504055,52.548637,356378,0.09
195,13.441201,52.47069,313395,0.07
196,13.624486,52.451347,303279,0.413
197,13.62491,52.45033,302803,0.738
198,13.62504,52.45612,403951,0.022
199,13.391027,52.505028,258651,0.671
200,13.391254,52.499706,5823,0.169
201,13.436347,52.48032,230494,0.844
202,13.435146,52.480713,435623,0.132
203,13.434109,52.48142,342066,0.783
204,13.426668,52.485096,344337,0.686
205,13.4337,52.48102,344778,0.563
206,13.43829,52.478928,236623,1
207,13.438532,52.477283,192841,0.808
208,13.439689,52.47498,413688,0.445
209,13.440489,52.47336,164706,0.379
210,13.426618,52.475903,265571,0.918
211,13.425748,52.4794,189564,0.129
212,13.463127,52.469963,148007,0.486
213,13.449703,52.474094,27867,0.936
214,13.385991,52.46693,303659,0.389
215,13.384454,52.45682,303578,0.519
216,13.3852625,52.446617,483854,0.652
217,13.385954,52.44608,129772,0.121
218,13.385643,52.445198,129759,0.21
219,13.431617,52.466537,501182,0.318
220,13.433723,52.463894,27419,0.207
221,13.394358,52.491867,227943,0.075
222,13.292639,52.49718,241333,0.33
223,13.437299,52.45644,30818,0.23
224,13.438525,52.453476,493576,0.057
225,13.306578,52.500137,467736,0.982
226,13.444887,52.499714,359485,0.5
227,13.424474,52.489613,290342,0.562
228,13.423614,52.49013,260712,0.325
229,13.448543,52.553326,17193,0.262
230,13.4143505,52.55463,50975,0.836
231,13.4126425,52.546825,15177,0.891
232,13.41229,52.53292,36664,0.403
233,13.51011,52.550774,33836,0.294
234,13.474304,52.535954,244451,0.228
235,13.240894,52.442158,20458,0.221
236,13.467973,52.52801,342131,0.71
237,13.412833,52.560406,284218,0.606
238,13.413785,52.558704,272360,0.765
239,13.403427,52.5697,331012,0.828
240,13.48551,52.51521,347467,0.308
241,13.523898,52.487083,134953,0.832
242,13.509485,52.452557,268623,0.049
243,13.506077,52.44583,292219,0.88
244,13.458825,52.441265,361625,0.631
245,13.45684,52.442616,140129,1
246,13.410343,52.57079,387723,0.718
247,13.368726,52.545013,11614,0.895
248,13.4426775,52.48017,313734,0.949
249,13.423458,52.491226,7003,0.042
250,13.422615,52.492596,290353,0.887
251,13.419937,52.496662,136181,0.317
252,13.409774,52.57124,63669,0.294
253,13.404019,52.58229,295395,0.738
254,13.33548,52.559544,383862,0.728
255,13.360831,52.54517,9289,0.636
