Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
172740 [[[2], [0]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2570, 167605, atm_bank, 1.378591562963758), (2768, 167605, movie_theater, 0.0), (2570, 167605, atm_bank, 0.0), (3372, 167527, pharmacy, 0.3240364167041855), (4437, 167249, gas_station, 0.907780896464813), Length: 2.610408876132756, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 66199 ms|Time for KNN: 65871072124 ms|Heap fetches: 40196|Max heap size: 16403
281597 [[[0], [4]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (811, 277750, restaurant, 1.6665447495999481), (2747, 275432, movie_theater, 1.9437250270656343), (2437, 275467, atm_bank, 0.327695349367367), (3227, 275456, pharmacy, 0.10992855347150066), (4539, 276224, gas_station, 1.0314131845549082), Length: 5.079306864059357, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2098 ms|Time for KNN: 1916720797 ms|Heap fetches: 814|Max heap size: 346
113988 [[[4], [5]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3251, 113988, pharmacy, 0.0), (2774, 113988, movie_theater, 0.0), (2502, 114909, atm_bank, 0.44180893022613377), (3201, 114949, pharmacy, 0.2355676457664838), (4479, 120453, gas_station, 0.8315822582982846), Length: 1.5089588342909022, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5683 ms|Time for KNN: 5498206111 ms|Heap fetches: 1102|Max heap size: 334
19995 [[[3], [2]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2771, 20112, movie_theater, 0.3682875481931398), (2771, 20112, movie_theater, 0.0), (2172, 19956, atm_bank, 0.0833528723002691), (3248, 20019, pharmacy, 0.1269285340122316), (4397, 76454, gas_station, 3.395915543706532), Length: 3.9744844982121723, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17025 ms|Time for KNN: 16844034553 ms|Heap fetches: 5677|Max heap size: 861
138091 [[[2], [1]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2413, 139330, atm_bank, 1.6969745704629084), (2752, 139330, movie_theater, 0.0), (2413, 139330, atm_bank, 0.0), (3312, 139296, pharmacy, 0.16554107566978135), (4414, 139471, gas_station, 0.2950722774542518), Length: 2.1575879235869415, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1147 ms|Time for KNN: 946126479 ms|Heap fetches: 536|Max heap size: 404
179466 [[[3], [5]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2726, 179330, movie_theater, 0.4869330240079438), (2726, 179330, movie_theater, 0.0), (2104, 178978, atm_bank, 0.23379504780809884), (2946, 179543, pharmacy, 0.33556005821566326), (4456, 178196, gas_station, 0.5720959974772444), Length: 1.6283841275089503, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1257 ms|Time for KNN: 1092839783 ms|Heap fetches: 799|Max heap size: 513
150269 [[[4], [1]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (265, 148270, coffee_shop, 1.6348432510488096), (2746, 147683, movie_theater, 0.1258987659259659), (2539, 100315, atm_bank, 1.0794558225405666), (2969, 100227, pharmacy, 0.04450077152157482), (4468, 100177, gas_station, 0.12291145957286097), Length: 3.007610070609778, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3947 ms|Time for KNN: 3779700018 ms|Heap fetches: 1623|Max heap size: 1152
98873 [[[2], [4]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (3388, 98910, pharmacy, 0.568995926466482), (2814, 98895, movie_theater, 0.07240395575747213), (2515, 101767, atm_bank, 1.308756119363919), (3174, 102113, pharmacy, 0.21813716261467342), (4369, 101467, gas_station, 0.23953782541387644), Length: 2.4078309896164227, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1100 ms|Time for KNN: 935993443 ms|Heap fetches: 672|Max heap size: 339
18934 [[[5], [6]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (4093, 12641, pub_bar, 3.243509103453852), (2775, 12609, movie_theater, 0.35749643964857014), (2475, 12609, atm_bank, 0.0), (3225, 13712, pharmacy, 0.09846157175479556), (4443, 12115, gas_station, 1.5414823319200097), Length: 5.240949446777227, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1288 ms|Time for KNN: 1124029348 ms|Heap fetches: 815|Max heap size: 199
394957 [[[1], [6]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (695, 237584, coffee_shop, 3.1811162924115677), (2730, 237539, movie_theater, 0.10910617941926598), (2419, 237278, atm_bank, 0.5604726157048134), (3046, 237299, pharmacy, 0.09106933896653585), (4445, 237271, gas_station, 0.3914434802291128), Length: 4.333207906731296, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1573 ms|Time for KNN: 1407517459 ms|Heap fetches: 495|Max heap size: 292
427788 [[[4], [3]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (2721, 241637, movie_theater, 13.390855453452318), (2721, 241637, movie_theater, 0.0), (2295, 241941, atm_bank, 0.2243611427751827), (3220, 241713, pharmacy, 0.046604954913280025), (4448, 241987, gas_station, 0.2979055410384205), Length: 13.9597270921792, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 445 ms|Time for KNN: 249994711 ms|Heap fetches: 37|Max heap size: 25
296851 [[[1], [2]], [[3]], [[2]], [[4]], [[6]]]|Found route: [POIs: (838, 302317, coffee_shop, 1.0444519899782165), (2766, 299340, movie_theater, 1.1558045095513858), (2232, 300090, atm_bank, 0.2303073238754455), (2850, 300040, pharmacy, 0.2672858930042106), (4504, 300118, gas_station, 0.25676780215520656), Length: 2.9546175185644645, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2042 ms|Time for KNN: 1872881729 ms|Heap fetches: 2005|Max heap size: 628
