Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
363527 [0, 5, 2, 6, 0] 5 [0, 4]|Found route: [POIs: (438, 354910, restaurant, 2.1081809034588175), (3438, 355732, pub_bar, 0.20920398209334073), (2525, 354991, atm_bank, 0.36560996261257583), (4430, 354980, gas_station, 0.8197062220508091), (1832, 355011, restaurant, 0.45269631155806056), Length: 3.9553973817736043, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 353 ms|Time for KNN: 352 ms|Heap fetches: 202|Max heap size: 108
411196 [1, 5, 0, 1, 1] 5 [0, 4]|Found route: [POIs: (833, 242050, coffee_shop, 6.848265959819812), (3812, 242260, pub_bar, 0.1265850043704421), (351, 242089, restaurant, 0.24930624725771489), (350, 241689, coffee_shop, 0.23521499875521135), (350, 241689, coffee_shop, 0.0), Length: 7.459372210203179, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 257 ms|Time for KNN: 256 ms|Heap fetches: 32|Max heap size: 18
179010 [0, 1, 4, 1, 0] 5 [0, 4]|Found route: [POIs: (2038, 178655, restaurant, 0.22144685960963725), (2038, 178655, coffee_shop, 0.0), (2837, 179339, pharmacy, 0.2372263270153387), (1853, 179308, coffee_shop, 0.10927193536387486), (1853, 179308, restaurant, 0.0), Length: 0.5679451219888507, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 33 ms|Time for KNN: 33 ms|Heap fetches: 47|Max heap size: 45
415467 [4, 0, 6, 3, 4] 5 [0, 4]|Found route: [POIs: (3069, 241690, pharmacy, 8.211239532526722), (350, 241689, restaurant, 0.06877566758669805), (4448, 241987, gas_station, 0.19361271970193147), (2721, 241637, movie_theater, 0.47566172890032316), (3350, 241985, pharmacy, 0.09169748863186386), Length: 9.040987137347539, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 607 ms|Time for KNN: 605 ms|Heap fetches: 192|Max heap size: 157
4540 [5, 5, 3, 3, 5] 5 [0, 4]|Found route: [POIs: (3436, 10079, pub_bar, 6.171991558670825), (3436, 10079, pub_bar, 0.0), (2775, 12609, movie_theater, 3.3927151548654773), (2775, 12609, movie_theater, 0.0), (4093, 12641, pub_bar, 0.3574964396485702), Length: 9.922203153184872, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 141 ms|Time for KNN: 140 ms|Heap fetches: 29|Max heap size: 12
65547 [1, 0, 5, 3, 1] 5 [0, 4]|Found route: [POIs: (693, 13625, coffee_shop, 2.3153692757218702), (693, 13625, restaurant, 0.0), (4089, 13556, pub_bar, 0.2319694330980171), (2775, 12609, movie_theater, 0.4409358887889871), (1712, 12384, coffee_shop, 0.26585747089528056), Length: 3.2541320685041546, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 472 ms|Time for KNN: 471 ms|Heap fetches: 289|Max heap size: 168
152222 [6, 0, 6, 3, 6] 5 [0, 4]|Found route: [POIs: (4437, 167249, gas_station, 1.2266654787141913), (1, 139337, restaurant, 1.3857401815685666), (4414, 139471, gas_station, 0.24937157401527585), (2773, 139144, movie_theater, 0.24783093141930856), (4414, 139471, gas_station, 0.24783093141930854), Length: 3.3574390971366492, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1151 ms|Time for KNN: 1149 ms|Heap fetches: 352|Max heap size: 137
95027 [5, 4, 4, 0, 5] 5 [0, 4]|Found route: [POIs: (4235, 96678, pub_bar, 1.7810510318095027), (3212, 97095, pharmacy, 0.081047491152403), (3212, 97095, pharmacy, 0.0), (1786, 97152, restaurant, 0.0392953053635673), (4013, 97639, pub_bar, 0.30562962978622105), Length: 2.2070234581116943, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 57 ms|Time for KNN: 56 ms|Heap fetches: 41|Max heap size: 13
155265 [5, 6, 0, 0, 5] 5 [0, 4]|Found route: [POIs: (3474, 155149, pub_bar, 1.0154118846201776), (4367, 150488, gas_station, 0.2829737999504339), (1201, 161400, restaurant, 0.9809966979545988), (1201, 161400, restaurant, 0.0), (3940, 161400, pub_bar, 0.0), Length: 2.2793823825252097, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 282 ms|Time for KNN: 281 ms|Heap fetches: 133|Max heap size: 33
312550 [3, 5, 5, 1, 3] 5 [0, 4]|Found route: [POIs: (2801, 324251, movie_theater, 2.699006158902523), (4129, 324254, pub_bar, 0.015931193467191466), (4129, 324254, pub_bar, 0.0), (1851, 324208, coffee_shop, 1.5183114699293212), (2754, 324051, movie_theater, 0.06741949155332624), Length: 4.30066831385236, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5255 ms|Time for KNN: 5226 ms|Heap fetches: 3805|Max heap size: 370
301799 [0, 1, 1, 4, 0] 5 [0, 4]|Found route: [POIs: (339, 301788, restaurant, 0.00691264693474832), (339, 301788, coffee_shop, 0.0), (339, 301788, coffee_shop, 0.0), (2990, 301551, pharmacy, 0.455438912818215), (1677, 301825, restaurant, 0.09303769366064145), Length: 0.5553892534136048, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 174 ms|Time for KNN: 172 ms|Heap fetches: 186|Max heap size: 128
