Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
238631 [6, 0, 2, 0, 5] 5 [1, 3]|Found route: [POIs: (4445, 237271, gas_station, 0.8036231670937807), (1059, 237299, restaurant, 0.39144348022911274), (2419, 237278, atm_bank, 0.09106933896653586), (1889, 237322, restaurant, 0.10071022815833244), (4189, 237322, pub_bar, 0.0), Length: 1.3868462144477616, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 30 ms|Time for KNN: 30 ms|Heap fetches: 36|Max heap size: 27
122834 [2, 3, 2, 4, 6] 5 [0, 2]|Found route: [POIs: (2476, 122190, atm_bank, 0.3391699235910371), (2807, 121884, movie_theater, 1.234029503601523), (2651, 143487, atm_bank, 0.7011930681003186), (3382, 121660, pharmacy, 0.1798636778902947), (4449, 143536, gas_station, 0.4969377747718819), Length: 2.951193947955055, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1617 ms|Time for KNN: 1613 ms|Heap fetches: 818|Max heap size: 151
10714 [4, 5, 2, 4, 6] 5 [0, 3]|Found route: [POIs: (2871, 10204, pharmacy, 1.0933956599954833), (3436, 10079, pub_bar, 0.34366245139502943), (2538, 10889, atm_bank, 1.2876691401229898), (2870, 10967, pharmacy, 0.7376950464172853), (4417, 10283, gas_station, 0.4176644075790448), Length: 3.8800867055098327, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1049 ms|Time for KNN: 1045 ms|Heap fetches: 1007|Max heap size: 173
227572 [3, 3, 2, 1, 3] 5 [1, 4]|Found route: [POIs: (2753, 233915, movie_theater, 2.80811335599647), (2753, 233915, movie_theater, 0.0), (2263, 233005, atm_bank, 0.4621607507355332), (754, 233242, coffee_shop, 0.28984558135722915), (2777, 166597, movie_theater, 1.028698680757567), Length: 4.588818368846799, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 730 ms|Time for KNN: 729 ms|Heap fetches: 240|Max heap size: 30
14055 [6, 4, 6, 4, 2] 5 [0, 2]|Found route: [POIs: (4416, 12989, gas_station, 1.7170810081299446), (3051, 13033, pharmacy, 0.34629600195207544), (4415, 12907, gas_station, 0.2691474044760409), (2968, 11313, pharmacy, 0.9640025817223669), (2334, 11413, atm_bank, 0.15657789990154444), Length: 3.4531048961819724, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 87 ms|Time for KNN: 86 ms|Heap fetches: 45|Max heap size: 12
359241 [5, 5, 5, 6, 0] 5 [0, 2]|Found route: [POIs: (3535, 359894, pub_bar, 2.0213660224722205), (3535, 359894, pub_bar, 0.0), (3544, 381602, pub_bar, 1.9985631731287254), (4407, 381123, gas_station, 0.6715641816883231), (2031, 381210, restaurant, 0.43795867549729295), Length: 5.129452052786562, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 244 ms|Time for KNN: 243 ms|Heap fetches: 64|Max heap size: 21
267746 [6, 2, 0, 6, 0] 5 [2, 4]|Found route: [POIs: (4441, 272791, gas_station, 3.7081078328568955), (2119, 272527, atm_bank, 0.47104181015268004), (870, 272339, restaurant, 0.22277264447174033), (4441, 272791, gas_station, 0.3695390952393588), (653, 272530, restaurant, 0.30281823215397247), Length: 5.074279614874647, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 26 ms|Time for KNN: 25 ms|Heap fetches: 10|Max heap size: 5
99535 [1, 6, 1, 2, 3] 5 [0, 2]|Found route: [POIs: (475, 99361, coffee_shop, 0.2863231140727239), (4418, 99385, gas_station, 0.5182336239950062), (204, 99951, coffee_shop, 0.28825884749533603), (2224, 99946, atm_bank, 0.03783257471096331), (2706, 99914, movie_theater, 0.21416725342683807), Length: 1.3448154137008674, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 137 ms|Time for KNN: 136 ms|Heap fetches: 159|Max heap size: 62
275705 [4, 3, 5, 2, 3] 5 [1, 4]|Found route: [POIs: (3227, 275456, pharmacy, 0.7603139762006652), (2747, 275432, movie_theater, 0.43762390283886765), (3816, 275431, pub_bar, 0.08231787822020745), (2660, 275363, atm_bank, 0.26188752724495606), (2739, 350818, movie_theater, 2.3814192484322536), Length: 3.92356253293695, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 872 ms|Time for KNN: 872 ms|Heap fetches: 129|Max heap size: 17
139484 [3, 3, 6, 3, 4] 5 [1, 3]|Found route: [POIs: (2752, 139330, movie_theater, 0.6688790871674717), (2752, 139330, movie_theater, 0.0), (4414, 139471, gas_station, 0.3320503786284154), (2773, 139144, movie_theater, 0.24783093141930856), (3312, 139296, pharmacy, 0.12192400002569247), Length: 1.3706843972408882, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 51 ms|Time for KNN: 51 ms|Heap fetches: 42|Max heap size: 28
413132 [3, 2, 3, 2, 5] 5 [0, 2]|Found route: [POIs: (2730, 237539, movie_theater, 9.271813221499876), (2180, 237046, atm_bank, 0.7482415611307559), (2804, 237364, movie_theater, 0.3325727402301793), (2180, 237046, atm_bank, 0.33257274023017935), (4027, 237046, pub_bar, 0.0), Length: 10.685200263090993, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 827 ms|Time for KNN: 826 ms|Heap fetches: 241|Max heap size: 129
294796 [5, 3, 4, 5, 6] 5 [0, 3]|Found route: [POIs: (3730, 254070, pub_bar, 1.1257656260763131), (2722, 255396, movie_theater, 1.3770148109784714), (3138, 255178, pharmacy, 0.18464141652883997), (3922, 252718, pub_bar, 1.3655559317679535), (4515, 252558, gas_station, 0.3501739647941924), Length: 4.403151750145771, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2124 ms|Time for KNN: 2115 ms|Heap fetches: 1437|Max heap size: 281
4429 [4, 0, 0, 2, 0] 5 [2, 4]|Found route: [POIs: (3270, 4174, pharmacy, 1.9759472772124669), (1068, 5340, restaurant, 0.26047400267225945), (1068, 5340, restaurant, 0.0), (2648, 5391, atm_bank, 0.15680227896954477), (1071, 2672, restaurant, 1.1036011191999255), Length: 3.496824678054197, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 35 ms|Time for KNN: 34 ms|Heap fetches: 22|Max heap size: 7
92447 [4, 1, 4, 1, 4] 5 [0, 2]|Found route: [POIs: (3329, 103029, pharmacy, 1.6654596435186755), (1547, 103051, coffee_shop, 0.1635391105533328), (3330, 103120, pharmacy, 0.2337785445794432), (1548, 103389, coffee_shop, 0.19087201336946177), (3330, 103120, pharmacy, 0.19087201336946177), Length: 2.444521325390375, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 77 ms|Time for KNN: 77 ms|Heap fetches: 38|Max heap size: 20
187286 [6, 3, 5, 0, 5] 5 [2, 4]|Found route: [POIs: (4488, 187942, gas_station, 0.6326797876935699), (2813, 187296, movie_theater, 0.686132045588751), (3563, 187370, pub_bar, 0.1568606511651765), (97, 187370, restaurant, 0.0), (3476, 186553, pub_bar, 0.10734446675081945), Length: 1.5830169511983165, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 33 ms|Time for KNN: 32 ms|Heap fetches: 31|Max heap size: 14
294721 [2, 6, 0, 6, 6] 5 [1, 3]|Found route: [POIs: (2289, 292152, atm_bank, 1.3950312941583134), (4525, 292060, gas_station, 0.3268637623038986), (324, 293926, restaurant, 0.8422479975945952), (4435, 295392, gas_station, 0.40833436115102584), (4435, 295392, gas_station, 0.0), Length: 2.972477415207833, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 135 ms|Time for KNN: 134 ms|Heap fetches: 57|Max heap size: 45
320370 [6, 4, 3, 5, 6] 5 [0, 4]|Found route: [POIs: (4379, 304074, gas_station, 1.2777228578387942), (3042, 319687, pharmacy, 0.40282285660079326), (2694, 301946, movie_theater, 0.29853367582351087), (4104, 319552, pub_bar, 0.40187982199087124), (4522, 318959, gas_station, 0.5564662137012568), Length: 2.937425425955226, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1078 ms|Time for KNN: 1076 ms|Heap fetches: 319|Max heap size: 45
212239 [6, 6, 0, 6, 1] 5 [1, 3]|Found route: [POIs: (4412, 210654, gas_station, 2.046912581646947), (4412, 210654, gas_station, 0.0), (1805, 211869, restaurant, 1.6408452344838984), (4438, 194897, gas_station, 1.0646313453130989), (1805, 211869, coffee_shop, 1.0646313453130989), Length: 5.817020506757043, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 505 ms|Time for KNN: 504 ms|Heap fetches: 168|Max heap size: 44
356962 [5, 3, 0, 3, 5] 5 [1, 3]|Found route: [POIs: (3688, 311178, pub_bar, 3.5525729671835307), (2741, 310716, movie_theater, 0.14230191153884433), (462, 310748, restaurant, 0.24330614053383504), (2695, 310697, movie_theater, 0.09673006292397915), (3689, 310695, pub_bar, 0.03200136266764387), Length: 4.066912444847833, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 172 ms|Time for KNN: 172 ms|Heap fetches: 53|Max heap size: 36
254118 [2, 6, 2, 6, 6] 5 [0, 2]|Found route: [POIs: (2590, 254045, atm_bank, 0.39999782560867186), (4485, 256936, gas_station, 0.518755239023498), (2371, 255183, atm_bank, 1.1255886550292473), (4515, 252558, gas_station, 1.035283985898509), (4515, 252558, gas_station, 0.0), Length: 3.079625705559926, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 186 ms|Time for KNN: 185 ms|Heap fetches: 73|Max heap size: 58
