Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
352476 [0, 6, 6, 0] 4 [0, 3]|Found route: [POIs: (287, 352899, restaurant, 0.3448719501566139), (4430, 354980, gas_station, 3.1662255514959363), (4430, 354980, gas_station, 0.0), (1832, 355011, restaurant, 0.45269631155806056), Length: 3.9637938132106108, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 529 ms|Time for KNN: 529 ms|Heap fetches: 103|Max heap size: 37
373530 [3, 2, 3, 4] 4 [0, 2]|Found route: [POIs: (2683, 375297, movie_theater, 1.6974448685285513), (2129, 424149, atm_bank, 3.67745827800359), (2806, 424193, movie_theater, 0.17154477728759027), (3370, 423150, pharmacy, 0.47735613852886855), Length: 6.0238040623486, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 929 ms|Time for KNN: 928 ms|Heap fetches: 82|Max heap size: 30
32617 [6, 4, 6, 3] 4 [0, 2]|Found route: [POIs: (4413, 32588, gas_station, 0.6509057823770613), (2903, 32475, pharmacy, 0.31699242395275373), (4515, 252558, gas_station, 3.064063853559902), (2722, 255396, movie_theater, 1.1787468220398007), Length: 5.210708881929517, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1145 ms|Time for KNN: 1144 ms|Heap fetches: 268|Max heap size: 60
292425 [1, 2, 5, 2] 4 [1, 3]|Found route: [POIs: (1985, 293547, coffee_shop, 2.215275692148889), (2278, 293547, atm_bank, 0.0), (4061, 293547, pub_bar, 0.0), (2591, 293618, atm_bank, 0.30561833735811555), Length: 2.5208940295070046, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 139 ms|Time for KNN: 139 ms|Heap fetches: 69|Max heap size: 12
36806 [4, 1, 4, 5] 4 [0, 2]|Found route: [POIs: (2920, 35654, pharmacy, 1.1629507116393878), (1543, 35684, coffee_shop, 0.06713120234572992), (2903, 32475, pharmacy, 0.9004777145271275), (3723, 32604, pub_bar, 0.2614328433787158), Length: 2.391992471890961, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 29 ms|Time for KNN: 29 ms|Heap fetches: 14|Max heap size: 5
39798 [3, 0, 0, 3] 4 [0, 3]|Found route: [POIs: (2782, 56332, movie_theater, 11.796884638218035), (94, 57456, restaurant, 0.06354205223533095), (1439, 57455, restaurant, 0.08842667045550534), (2797, 57488, movie_theater, 0.06412075298050063), Length: 12.01297411388937, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 33 ms|Time for KNN: 33 ms|Heap fetches: 13|Max heap size: 7
417918 [2, 4, 3, 2] 4 [0, 3]|Found route: [POIs: (2555, 416528, atm_bank, 1.3796867440997698), (3355, 398517, pharmacy, 7.609651380579563), (2721, 241637, movie_theater, 2.056307494712951), (2295, 241941, atm_bank, 0.2243611427751827), Length: 11.270006762167464, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1263 ms|Time for KNN: 1262 ms|Heap fetches: 129|Max heap size: 76
59133 [2, 2, 3, 2] 4 [1, 3]|Found route: [POIs: (2142, 57581, atm_bank, 5.462459165064169), (2142, 57581, atm_bank, 0.0), (2797, 57488, movie_theater, 0.12988213630501594), (2281, 57455, atm_bank, 0.06412075298050063), Length: 5.656462054349686, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 90 ms|Time for KNN: 88 ms|Heap fetches: 39|Max heap size: 27
403328 [2, 4, 2, 5] 4 [0, 2]|Found route: [POIs: (2396, 405239, atm_bank, 0.2907929320695517), (3244, 405431, pharmacy, 0.6776156340190541), (2397, 405353, atm_bank, 0.32086936906938573), (3715, 402518, pub_bar, 1.1773634116187135), Length: 2.466641346776705, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 54 ms|Time for KNN: 53 ms|Heap fetches: 27|Max heap size: 8
405954 [6, 3, 3, 3] 4 [1, 3]|Found route: [POIs: (4472, 395952, gas_station, 4.09815892209285), (2770, 392427, movie_theater, 2.467497669619441), (2770, 392427, movie_theater, 0.0), (2728, 392427, movie_theater, 0.0), Length: 6.56565659171229, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 623 ms|Time for KNN: 622 ms|Heap fetches: 48|Max heap size: 19
43499 [3, 0, 6, 0] 4 [1, 3]|Found route: [POIs: (2682, 95231, movie_theater, 8.082190330552491), (11, 95231, restaurant, 0.0), (4486, 97715, gas_station, 0.6027646808110814), (655, 97716, restaurant, 0.2686184559297083), Length: 8.95357346729328, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 298 ms|Time for KNN: 296 ms|Heap fetches: 93|Max heap size: 23
229507 [1, 5, 4, 1] 4 [0, 3]|Found route: [POIs: (1375, 205516, coffee_shop, 3.549081158598401), (3524, 203467, pub_bar, 0.4105577891237586), (3304, 204958, pharmacy, 0.12628974654669853), (1378, 204958, coffee_shop, 0.0), Length: 4.0859286942688575, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 204 ms|Time for KNN: 203 ms|Heap fetches: 52|Max heap size: 30
237941 [6, 4, 0, 6] 4 [0, 3]|Found route: [POIs: (4469, 238157, gas_station, 0.6054382911652082), (3054, 237587, pharmacy, 0.7025447679646575), (695, 237584, restaurant, 0.01348663478555057), (4445, 237271, gas_station, 0.32305238107678497), Length: 1.6445220749922014, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 40 ms|Time for KNN: 39 ms|Heap fetches: 23|Max heap size: 7
77326 [4, 5, 3, 5] 4 [1, 3]|Found route: [POIs: (2986, 81443, pharmacy, 2.116656984582371), (4177, 81443, pub_bar, 0.0), (2693, 99052, movie_theater, 0.6808049114908005), (4336, 99166, pub_bar, 0.268370838951051), Length: 3.0658327350242223, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 552 ms|Time for KNN: 551 ms|Heap fetches: 262|Max heap size: 103
160374 [6, 0, 5, 0] 4 [1, 3]|Found route: [POIs: (4440, 159226, gas_station, 0.7092116459519302), (1091, 164285, restaurant, 0.7077238761313919), (3893, 164287, pub_bar, 0.028779158889891403), (1092, 164408, restaurant, 0.022035502061433773), Length: 1.467750183034647, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4 ms|Time for KNN: 3 ms|Heap fetches: 5|Max heap size: 2
395336 [3, 6, 4, 6] 4 [1, 3]|Found route: [POIs: (2697, 335053, movie_theater, 0.8712898500996916), (4472, 395952, gas_station, 1.9428686593929105), (3373, 396047, pharmacy, 0.41532042680652875), (4512, 396772, gas_station, 0.7678620055869323), Length: 3.9973409418860633, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 270 ms|Time for KNN: 269 ms|Heap fetches: 53|Max heap size: 14
114297 [5, 3, 4, 5] 4 [0, 3]|Found route: [POIs: (3776, 114227, pub_bar, 0.08126206083082507), (2703, 114364, movie_theater, 0.27626930727867394), (2910, 114190, pharmacy, 0.010703211760851246), (3846, 113977, pub_bar, 0.3588782767353711), Length: 0.7271128566057214, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 10 ms|Time for KNN: 10 ms|Heap fetches: 13|Max heap size: 4
208384 [4, 2, 1, 2] 4 [1, 3]|Found route: [POIs: (3192, 207387, pharmacy, 1.1218614992960654), (2543, 207401, atm_bank, 0.06611105014668904), (1375, 205516, coffee_shop, 1.367607357167154), (2531, 205517, atm_bank, 0.11884108988945714), Length: 2.6744209964993657, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 115 ms|Time for KNN: 114 ms|Heap fetches: 32|Max heap size: 18
326385 [1, 0, 1, 4] 4 [0, 2]|Found route: [POIs: (1494, 325620, coffee_shop, 0.23801260889224118), (1494, 325620, restaurant, 0.0), (1496, 325620, coffee_shop, 0.0), (2953, 324833, pharmacy, 0.34185240245076554), Length: 0.5798650113430067, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 655 ms|Time for KNN: 652 ms|Heap fetches: 680|Max heap size: 76
411512 [2, 4, 2, 6] 4 [0, 2]|Found route: [POIs: (2389, 413816, atm_bank, 1.6535404358217738), (3266, 414476, pharmacy, 0.3326389648774065), (2473, 411215, atm_bank, 1.6476529008820389), (4495, 411323, gas_station, 1.5336592255167873), Length: 5.167491527098007, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 117 ms|Time for KNN: 117 ms|Heap fetches: 40|Max heap size: 13
326066 [1, 3, 5, 3] 4 [1, 3]|Found route: [POIs: (83, 326242, coffee_shop, 0.5526229553859077), (2724, 326252, movie_theater, 0.05130516234233557), (3826, 326252, pub_bar, 0.0), (2809, 326250, movie_theater, 0.5673930615859609), Length: 1.1713211793142042, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 132 ms|Time for KNN: 131 ms|Heap fetches: 114|Max heap size: 16
15325 [6, 2, 6, 3] 4 [0, 2]|Found route: [POIs: (4444, 14488, gas_station, 4.288078998991329), (2415, 13714, atm_bank, 1.6676943308709178), (4443, 12115, gas_station, 1.5464938286853853), (2775, 12609, movie_theater, 1.550697013127098), Length: 9.05296417167473, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4385 ms|Time for KNN: 4382 ms|Heap fetches: 861|Max heap size: 136
398443 [2, 3, 3, 3] 4 [1, 3]|Found route: [POIs: (2295, 241941, atm_bank, 1.6229118527111295), (2721, 241637, movie_theater, 0.22436114277518274), (2721, 241637, movie_theater, 0.0), (2765, 237982, movie_theater, 1.978265741692512), Length: 3.8255387371788245, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 139 ms|Time for KNN: 138 ms|Heap fetches: 39|Max heap size: 10
120065 [1, 3, 0, 1] 4 [0, 3]|Found route: [POIs: (1531, 119944, coffee_shop, 0.5200341198181054), (2696, 120425, movie_theater, 0.4888650758738709), (1984, 119378, restaurant, 0.17286275118124486), (1984, 119378, coffee_shop, 0.0), Length: 1.1817619468732212, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23 ms|Time for KNN: 22 ms|Heap fetches: 21|Max heap size: 18
361054 [5, 0, 5, 6] 4 [0, 2]|Found route: [POIs: (4217, 278353, pub_bar, 2.4117382856524543), (811, 277750, restaurant, 0.7842288567760466), (4333, 275781, pub_bar, 1.413691056930546), (4526, 276863, gas_station, 0.8176463489422728), Length: 5.42730454830132, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 805 ms|Time for KNN: 804 ms|Heap fetches: 293|Max heap size: 46
88675 [0, 4, 0, 6] 4 [0, 2]|Found route: [POIs: (1438, 57458, restaurant, 1.6983114251546856), (2878, 57458, pharmacy, 0.0), (93, 57458, restaurant, 0.0), (4530, 57523, gas_station, 0.8530971319813717), Length: 2.551408557136057, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 651 ms|Time for KNN: 647 ms|Heap fetches: 865|Max heap size: 67
348652 [2, 1, 0, 2] 4 [0, 3]|Found route: [POIs: (2239, 344078, atm_bank, 2.188165174909924), (1580, 341713, coffee_shop, 1.2313989698303383), (1580, 341713, restaurant, 0.0), (2178, 341966, atm_bank, 0.026004514607199457), Length: 3.4455686593474617, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 298 ms|Time for KNN: 297 ms|Heap fetches: 104|Max heap size: 13
