Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
331891 [4, 5, 4, 2, 3] 5 [0, 2]|Found route: [POIs: (2826, 331157, pharmacy, 0.3479426467211635), (3779, 331029, pub_bar, 0.15179189047378278), (3289, 331680, pharmacy, 0.05282441254601844), (2347, 335047, atm_bank, 0.7452014287234546), (2697, 335053, movie_theater, 0.17722483683405743), Length: 1.4749852152984766, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 137 ms|Time for KNN: 135 ms|Heap fetches: 143|Max heap size: 44
330521 [2, 4, 2, 1, 4] 5 [0, 2]|Found route: [POIs: (2229, 189972, atm_bank, 0.6662224574851963), (2995, 189972, pharmacy, 0.0), (2498, 190018, atm_bank, 0.2842548228179437), (871, 189999, coffee_shop, 0.01290701806029154), (2995, 189972, pharmacy, 0.27134780475765213), Length: 1.2347321031210836, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 61 ms|Time for KNN: 60 ms|Heap fetches: 79|Max heap size: 13
245248 [5, 5, 3, 5, 2] 5 [1, 3]|Found route: [POIs: (3479, 203895, pub_bar, 5.447090502311268), (3479, 203895, pub_bar, 0.0), (2681, 204019, movie_theater, 0.7665831437366348), (3679, 203472, pub_bar, 0.577378490361941), (2319, 203692, atm_bank, 0.2586045862896383), Length: 7.049656722699482, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1901 ms|Time for KNN: 1900 ms|Heap fetches: 225|Max heap size: 111
412579 [0, 6, 6, 6, 1] 5 [1, 3]|Found route: [POIs: (1608, 409835, restaurant, 6.268691371175465), (4509, 399804, gas_station, 0.7349578805695519), (4499, 399529, gas_station, 0.7348150979561584), (4499, 399529, gas_station, 0.0), (278, 401204, coffee_shop, 1.9138624515435003), Length: 9.652326801244676, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 320 ms|Time for KNN: 319 ms|Heap fetches: 141|Max heap size: 33
412842 [5, 2, 5, 1, 3] 5 [0, 2]|Found route: [POIs: (3732, 242308, pub_bar, 6.759901522458855), (2295, 241941, atm_bank, 0.8396644985988818), (3810, 241658, pub_bar, 0.41619448853452706), (835, 241496, coffee_shop, 0.21643535809553718), (2721, 241637, movie_theater, 0.02460201233619288), Length: 8.256797880023994, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 310 ms|Time for KNN: 310 ms|Heap fetches: 26|Max heap size: 22
363850 [6, 6, 0, 6, 5] 5 [1, 3]|Found route: [POIs: (4426, 361068, gas_station, 2.5265265161019976), (4426, 361068, gas_station, 0.0), (594, 360502, restaurant, 0.7509460364736099), (4430, 354980, gas_station, 0.7989775832180628), (3438, 355732, pub_bar, 1.185316184663385), Length: 5.261766320457055, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 186 ms|Time for KNN: 186 ms|Heap fetches: 100|Max heap size: 22
57016 [6, 4, 0, 4, 0] 5 [1, 3]|Found route: [POIs: (4530, 57523, gas_station, 0.3327055234263216), (2878, 57458, pharmacy, 0.8530971319813716), (93, 57458, restaurant, 0.0), (2876, 56285, pharmacy, 0.14457134799832938), (525, 56286, restaurant, 0.03332745435505765), Length: 1.3637014577610802, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 41 ms|Time for KNN: 40 ms|Heap fetches: 51|Max heap size: 26
394555 [6, 6, 6, 5, 5] 5 [0, 2]|Found route: [POIs: (4431, 394127, gas_station, 1.400094341725679), (4431, 394127, gas_station, 0.0), (4508, 393748, gas_station, 0.5042859569166549), (3614, 237707, pub_bar, 1.659913515412904), (3614, 237707, pub_bar, 0.0), Length: 3.564293814055238, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 159 ms|Time for KNN: 159 ms|Heap fetches: 87|Max heap size: 61
381489 [2, 5, 5, 6, 5] 5 [2, 4]|Found route: [POIs: (2454, 382136, atm_bank, 0.572160560933584), (3951, 382284, pub_bar, 0.23580083409554864), (3951, 382284, pub_bar, 0.0), (4407, 381123, gas_station, 1.157700399269905), (3544, 381602, pub_bar, 0.671564181688323), Length: 2.6372259759873606, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 155 ms|Time for KNN: 154 ms|Heap fetches: 84|Max heap size: 46
67338 [5, 6, 5, 2, 4] 5 [0, 2]|Found route: [POIs: (3756, 88106, pub_bar, 3.3097373899625926), (4487, 88016, gas_station, 0.31070306899176153), (3755, 88064, pub_bar, 0.048184897796523816), (2382, 97644, atm_bank, 0.27797012301268376), (3183, 97656, pharmacy, 0.13517149927403294), Length: 4.081766979037594, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 56 ms|Time for KNN: 55 ms|Heap fetches: 26|Max heap size: 17
