Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
210124 [6, 6, 4, 3, 3] []|Found route: [POIs: (4438, 194897, gas_station, 2.2547280296343732), (4438, 194897, gas_station, 0.0), (3304, 204958, pharmacy, 3.317187241966814), (2681, 204019, movie_theater, 0.7669309484348467), (2681, 204019, movie_theater, 0.0), Length: 6.338846220036033, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 174597 ms|Time for KNN: 486003407 ms|Heap fetches: 8132|Max heap size: 6308
241362 [0, 2, 2, 1, 3] []|Found route: [POIs: (2295, 241941, atm_bank, 2.902352026324514), (2295, 241941, atm_bank, 0.0), (349, 241753, restaurant, 0.050904177386855556), (835, 241496, coffee_shop, 0.14885495305213428), (2721, 241637, movie_theater, 0.02460201233619288), Length: 3.126713169099696, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 36406 ms|Time for KNN: 186157312 ms|Heap fetches: 4232|Max heap size: 3492
211086 [5, 6, 0, 0, 5] []|Found route: [POIs: (4011, 210824, pub_bar, 0.5684464810642218), (4011, 210824, pub_bar, 0.0), (4412, 210654, gas_station, 0.7458718811944474), (704, 210325, restaurant, 1.4968806476883598), (704, 210325, restaurant, 0.0), Length: 2.811199009947029, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 208418 ms|Time for KNN: 305284000 ms|Heap fetches: 47608|Max heap size: 30096
176222 [2, 6, 4, 1, 1] []|Found route: [POIs: (1560, 177736, coffee_shop, 0.5291295075972154), (1560, 177736, coffee_shop, 0.0), (2485, 187278, atm_bank, 0.9205119872571049), (2942, 187536, pharmacy, 0.2928676453202612), (4488, 187942, gas_station, 0.29899211312304763), Length: 2.0415012532976293, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2965081 ms|Time for KNN: 205867699 ms|Heap fetches: 897288|Max heap size: 524462
234015 [0, 5, 0, 3, 1] []|Found route: [POIs: (586, 233722, coffee_shop, 0.32058777634394875), (586, 233722, restaurant, 0.0), (586, 233722, restaurant, 0.0), (3687, 233899, pub_bar, 0.2846987756771909), (2753, 233915, movie_theater, 0.09585278426330793), Length: 0.7011393362844476, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 65250 ms|Time for KNN: 5045820696 ms|Heap fetches: 20728|Max heap size: 18378
197196 [4, 3, 5, 5, 3] []|Found route: [POIs: (3388, 98910, pharmacy, 4.811538896994345), (4320, 98915, pub_bar, 0.014421176579945183), (4320, 98915, pub_bar, 0.0), (2814, 98895, movie_theater, 0.05798277917752695), (2814, 98895, movie_theater, 0.0), Length: 4.883942852751817, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 131769 ms|Time for KNN: 123825246 ms|Heap fetches: 13080|Max heap size: 12840
410767 [5, 2, 5, 2, 2] []|Found route: [POIs: (3732, 242308, pub_bar, 6.15389897703254), (3732, 242308, pub_bar, 0.0), (2295, 241941, atm_bank, 0.8396644985988818), (2295, 241941, atm_bank, 0.0), (2295, 241941, atm_bank, 0.0), Length: 6.993563475631422, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 63438 ms|Time for KNN: 252720849 ms|Heap fetches: 6072|Max heap size: 5592
174058 [5, 5, 6, 6, 2] []|Found route: [POIs: (4361, 139648, pub_bar, 1.367958330471613), (4361, 139648, pub_bar, 0.0), (2658, 139498, atm_bank, 0.05306580400892053), (4414, 139471, gas_station, 0.28428215848264116), (4414, 139471, gas_station, 0.0), Length: 1.7053062929631746, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 268539 ms|Time for KNN: 4743308092 ms|Heap fetches: 74768|Max heap size: 73476
138979 [2, 6, 4, 0, 5] []|Found route: [POIs: (2431, 138939, atm_bank, 0.42296251398566087), (2885, 138939, pharmacy, 0.0), (4186, 138902, pub_bar, 0.13693144823189385), (1695, 139498, restaurant, 0.12469200994661914), (4414, 139471, gas_station, 0.28428215848264116), Length: 0.968868130646815, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 55479 ms|Time for KNN: 17047588 ms|Heap fetches: 14746|Max heap size: 11049
152337 [0, 3, 4, 2, 5] []|Found route: [POIs: (2669, 151342, atm_bank, 0.6717801767839227), (2808, 150853, movie_theater, 0.351797893774187), (863, 151691, restaurant, 0.27675500976603634), (3741, 151691, pub_bar, 0.0), (3162, 144922, pharmacy, 0.3205503661296797), Length: 1.6208834464538255, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 238828 ms|Time for KNN: 577524754 ms|Heap fetches: 64107|Max heap size: 56548
