Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
49495 [0, 4, 6, 1, 2] [4, 2, 0, 1]|Found route: [POIs: (340, 56943, restaurant, 2.986275925363353), (2862, 56943, pharmacy, 0.0), (4401, 55518, gas_station, 0.219119750717952), (94, 57456, coffee_shop, 0.9455064873528352), (2131, 56373, atm_bank, 0.06937238703376293), Length: 4.220274550467903, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 573 ms|Time for KNN: 530 ms|Heap fetches: 77|Max heap size: 70
188269 [5, 0, 5, 6, 2] [4, 0, 1, 3]|Found route: [POIs: (4200, 187261, pub_bar, 0.2114642751714118), (500, 188355, restaurant, 0.10513785298455645), (4200, 187261, pub_bar, 0.10513785298455645), (4488, 187942, gas_station, 0.3197240281665155), (2564, 327109, atm_bank, 0.4909544858974724), Length: 1.2324184952045127, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17240 ms|Time for KNN: 13687 ms|Heap fetches: 5736|Max heap size: 5190
299129 [1, 6, 5, 5, 2] [3, 1, 2, 0]|Found route: [POIs: (845, 299065, coffee_shop, 0.4571432475993954), (4504, 300118, gas_station, 0.684479649176174), (3729, 300049, pub_bar, 0.12715403128178995), (3729, 300049, pub_bar, 0.0), (2283, 300016, atm_bank, 0.365180549820216), Length: 1.6339574778775754, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 962 ms|Time for KNN: 736 ms|Heap fetches: 358|Max heap size: 140
389018 [0, 0, 5, 0, 1] [2, 1, 4, 3]|Found route: [POIs: (628, 391326, restaurant, 1.537523375989039), (628, 391326, restaurant, 0.0), (3637, 388877, pub_bar, 0.4355831458065599), (900, 390195, restaurant, 0.5118373046124067), (900, 390195, coffee_shop, 0.0), Length: 2.4849438264080055, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 171 ms|Time for KNN: 154 ms|Heap fetches: 38|Max heap size: 32
11007 [3, 5, 3, 0, 0] [4, 2, 0, 1]|Found route: [POIs: (2775, 12609, movie_theater, 3.8515961512621923), (4093, 12641, pub_bar, 0.3574964396485702), (2775, 12609, movie_theater, 0.35749643964857014), (1471, 12614, restaurant, 0.09991364814858597), (1471, 12614, restaurant, 0.0), Length: 4.666502678707919, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 69 ms|Time for KNN: 67 ms|Heap fetches: 9|Max heap size: 5
43974 [5, 3, 3, 0, 3] [4, 1, 2, 3]|Found route: [POIs: (3603, 55453, pub_bar, 6.728663700878132), (2782, 56332, movie_theater, 1.5738384212541272), (2782, 56332, movie_theater, 0.0), (94, 57456, restaurant, 0.06354205223533095), (2782, 56332, movie_theater, 0.06354205223533095), Length: 8.42958622660292, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 70 ms|Time for KNN: 61 ms|Heap fetches: 15|Max heap size: 13
303180 [2, 3, 5, 0, 1] [1, 0, 4, 2]|Found route: [POIs: (2411, 302381, atm_bank, 1.696413188614687), (2787, 299711, movie_theater, 1.63977702385806), (3665, 293503, pub_bar, 0.3146049991950395), (1407, 293503, restaurant, 0.0), (1407, 293503, coffee_shop, 0.0), Length: 3.650795211667787, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 661 ms|Time for KNN: 616 ms|Heap fetches: 106|Max heap size: 94
423920 [0, 1, 0, 6, 2] [3, 1, 4, 2]|Found route: [POIs: (1817, 423150, restaurant, 0.9865429058964921), (1817, 423150, coffee_shop, 0.0), (1817, 423150, restaurant, 0.0), (4399, 423149, gas_station, 0.22397633978820805), (2129, 424149, atm_bank, 0.5004896219616114), Length: 1.7110088676463113, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 88 ms|Time for KNN: 75 ms|Heap fetches: 28|Max heap size: 24
217119 [5, 3, 0, 0, 6] [4, 1, 0, 2]|Found route: [POIs: (3479, 203895, pub_bar, 5.498744635533257), (2681, 204019, movie_theater, 0.7665831437366348), (413, 204019, restaurant, 0.0), (413, 204019, restaurant, 0.0), (4496, 205493, gas_station, 1.4947090796461144), Length: 7.760036858916006, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4386 ms|Time for KNN: 3792 ms|Heap fetches: 1321|Max heap size: 114
225145 [2, 1, 4, 4, 4] [4, 0, 2, 3]|Found route: [POIs: (2527, 165222, atm_bank, 1.7753105503582578), (3, 166284, coffee_shop, 0.31267916765234144), (3362, 165345, pharmacy, 0.11645006765050664), (3362, 165345, pharmacy, 0.0), (3362, 165345, pharmacy, 0.0), Length: 2.2044397856611058, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 132 ms|Time for KNN: 119 ms|Heap fetches: 30|Max heap size: 27
420774 [1, 0, 1, 3, 0] [2, 4, 3, 1]|Found route: [POIs: (1546, 422057, coffee_shop, 1.295749201658647), (1546, 422057, restaurant, 0.0), (1546, 422057, coffee_shop, 0.0), (2806, 424193, movie_theater, 1.1992248103385943), (1781, 424193, restaurant, 0.0), Length: 2.4949740119972414, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 354 ms|Time for KNN: 314 ms|Heap fetches: 79|Max heap size: 72
78594 [2, 1, 4, 5, 2] [1, 3, 4, 2]|Found route: [POIs: (2381, 78649, atm_bank, 0.2978592956086226), (649, 78650, coffee_shop, 0.07052653374098647), (3178, 78739, pharmacy, 0.03418840825404971), (3753, 78646, pub_bar, 0.08133728686066508), (2381, 78649, atm_bank, 0.024242110053193603), Length: 0.5081536345175175, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 52 ms|Time for KNN: 40 ms|Heap fetches: 26|Max heap size: 19
198485 [2, 0, 0, 0, 0] [1, 0, 4, 2]|Found route: [POIs: (2157, 203948, atm_bank, 2.350728702979074), (1158, 203948, restaurant, 0.0), (1158, 203948, restaurant, 0.0), (1158, 203948, restaurant, 0.0), (1158, 203948, restaurant, 0.0), Length: 2.350728702979074, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 58 ms|Time for KNN: 54 ms|Heap fetches: 9|Max heap size: 6
29872 [3, 6, 6, 5, 3] [1, 0, 4, 2]|Found route: [POIs: (2722, 255396, movie_theater, 6.455914478726069), (4515, 252558, gas_station, 1.1787468220398007), (4515, 252558, gas_station, 0.0), (3922, 252718, pub_bar, 0.35017396479419244), (2722, 255396, movie_theater, 1.5289207868339934), Length: 9.513756052394056, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 908 ms|Time for KNN: 879 ms|Heap fetches: 69|Max heap size: 49
227262 [2, 3, 4, 6, 0] [2, 1, 3, 0]|Found route: [POIs: (2201, 166188, atm_bank, 2.555417484025816), (2794, 166640, movie_theater, 0.29857394327356623), (3071, 166243, pharmacy, 0.28371068077594486), (4524, 166237, gas_station, 0.07209561972315767), (141, 166304, restaurant, 0.23624514279471465), Length: 3.4460428705931996, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 842 ms|Time for KNN: 790 ms|Heap fetches: 109|Max heap size: 91
305806 [2, 6, 3, 6, 2] [2, 0, 1, 3]|Found route: [POIs: (2331, 309716, atm_bank, 2.2669746340750434), (4481, 310526, gas_station, 0.7461169781575918), (2695, 310697, movie_theater, 0.9185823850637843), (4481, 310526, gas_station, 0.9185823850637844), (2331, 309716, atm_bank, 0.7461169781575918), Length: 5.596373360517796, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4162 ms|Time for KNN: 4040 ms|Heap fetches: 227|Max heap size: 197
233709 [4, 5, 6, 4, 3] [1, 0, 2, 4]|Found route: [POIs: (2853, 236602, pharmacy, 1.3699615578813322), (3717, 237356, pub_bar, 0.4822673274539351), (4445, 237271, gas_station, 0.4875209774166052), (3054, 237587, pharmacy, 0.30956574629123434), (2730, 237539, movie_theater, 0.09561954463371539), Length: 2.7449351536768223, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 9035 ms|Time for KNN: 8227 ms|Heap fetches: 1450|Max heap size: 1167
415873 [0, 0, 0, 3, 2] [0, 1, 4, 3]|Found route: [POIs: (278, 401204, restaurant, 5.263438869405994), (349, 241753, restaurant, 4.353172647946879), (349, 241753, restaurant, 0.0), (2721, 241637, movie_theater, 0.17345696538832717), (2295, 241941, atm_bank, 0.2243611427751827), Length: 10.01442962551638, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17243 ms|Time for KNN: 16222 ms|Heap fetches: 1747|Max heap size: 1505
398019 [2, 3, 2, 6, 6] [2, 0, 4, 3]|Found route: [POIs: (2295, 241941, atm_bank, 2.188784604294561), (2721, 241637, movie_theater, 0.22436114277518274), (2295, 241941, atm_bank, 0.2243611427751827), (4448, 241987, gas_station, 0.34451049595170047), (4448, 241987, gas_station, 0.0), Length: 2.9820173857966275, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 173 ms|Time for KNN: 161 ms|Heap fetches: 32|Max heap size: 28
11639 [3, 5, 4, 0, 6] [0, 1, 3, 2]|Found route: [POIs: (2775, 12609, movie_theater, 1.5718937552500065), (4089, 13556, pub_bar, 0.440935888788987), (3284, 13532, pharmacy, 0.09310137070612347), (1188, 13667, restaurant, 0.06437544771481907), (4477, 11271, gas_station, 1.4660510357575316), Length: 3.6363574982174676, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 611 ms|Time for KNN: 531 ms|Heap fetches: 230|Max heap size: 32
