Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
244762 [1, 2, 5, 6, 4] [4, 1, 3]|Found route: [POIs: (1274, 246591, coffee_shop, 1.6836973750227768), (2159, 229529, atm_bank, 3.317981413125211), (3425, 229785, pub_bar, 0.03511741717056951), (4388, 229810, gas_station, 0.2852370525440444), (3359, 229556, pharmacy, 0.39123095492334015), Length: 5.713264212785942, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 10825 ms|Time for KNN: 7374047057 ms|Heap fetches: 1756|Max heap size: 1498
126740 [5, 6, 6, 0, 2] [4, 2, 3]|Found route: [POIs: (3706, 126829, pub_bar, 0.02463713599514336), (4442, 126176, gas_station, 0.9032779744959312), (4442, 126176, gas_station, 0.0), (1624, 126339, restaurant, 0.2908341875547078), (2175, 122441, atm_bank, 0.21408136153089774), Length: 1.43283065957668, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 640 ms|Time for KNN: 169385938 ms|Heap fetches: 148|Max heap size: 96
152532 [2, 2, 2, 4, 1] [2, 1, 4]|Found route: [POIs: (2654, 150951, atm_bank, 0.5501812264855154), (2654, 150951, atm_bank, 0.0), (2654, 150951, atm_bank, 0.0), (3191, 152213, pharmacy, 0.7096826711372981), (807, 127864, coffee_shop, 0.14602614031979447), Length: 1.405890037942608, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 521 ms|Time for KNN: 149211774 ms|Heap fetches: 104|Max heap size: 79
102121 [1, 2, 6, 5, 4] [2, 0, 3]|Found route: [POIs: (884, 102350, coffee_shop, 0.3314598860744618), (2515, 101767, atm_bank, 0.08764374596716257), (4369, 101467, gas_station, 0.38567500883066097), (3994, 102423, pub_bar, 0.14770622378985757), (3174, 102113, pharmacy, 0.0962794748262435), Length: 1.0487643394883863, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 353 ms|Time for KNN: 91685725 ms|Heap fetches: 50|Max heap size: 41
304719 [1, 6, 4, 1, 4] [1, 2, 4]|Found route: [POIs: (407, 304371, coffee_shop, 1.172118419029396), (4379, 304074, gas_station, 0.8877198917323803), (3042, 319687, pharmacy, 0.40282285660079326), (1191, 319884, coffee_shop, 0.11128233828498889), (3042, 319687, pharmacy, 0.11128233828498889), Length: 2.685225843932548, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 678 ms|Time for KNN: 230775817 ms|Heap fetches: 82|Max heap size: 70
287032 [6, 6, 6, 0, 3] [1, 3, 4]|Found route: [POIs: (4426, 361068, gas_station, 5.958372228683634), (4426, 361068, gas_station, 0.0), (4426, 361068, gas_station, 0.0), (1653, 363424, restaurant, 2.5394002380040908), (2727, 363315, movie_theater, 0.2611538717094461), Length: 8.75892633839717, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1969 ms|Time for KNN: 764590581 ms|Heap fetches: 278|Max heap size: 66
139647 [6, 5, 4, 4, 4] [3, 0, 1]|Found route: [POIs: (4414, 139471, gas_station, 0.31525925087305096), (4361, 139648, pub_bar, 0.27252998189490985), (3037, 139499, pharmacy, 0.020480487102074958), (3037, 139499, pharmacy, 0.0), (3037, 139499, pharmacy, 0.0), Length: 0.6082697198700358, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 256 ms|Time for KNN: 17736093 ms|Heap fetches: 14|Max heap size: 10
188965 [2, 0, 0, 2, 4] [1, 4, 3]|Found route: [POIs: (2106, 184659, atm_bank, 0.2880140227801498), (681, 184635, restaurant, 0.042701121385456495), (681, 184635, restaurant, 0.0), (2106, 184659, atm_bank, 0.042701121385456495), (3308, 184723, pharmacy, 0.2984021119460955), Length: 0.6718183774971583, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 385 ms|Time for KNN: 86383799 ms|Heap fetches: 70|Max heap size: 36
284868 [0, 6, 4, 6, 0] [3, 2, 1]|Found route: [POIs: (1386, 283779, restaurant, 4.063092835059983), (4441, 272791, gas_station, 6.382811899165065), (2854, 272358, pharmacy, 0.3332147365858877), (4441, 272791, gas_station, 0.3332147365858877), (653, 272530, restaurant, 0.30281823215397247), Length: 11.415152439550797, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 505 ms|Time for KNN: 142039817 ms|Heap fetches: 54|Max heap size: 46
421504 [2, 0, 2, 0, 6] [4, 2, 0]|Found route: [POIs: (2107, 377957, atm_bank, 1.8142758240387655), (182, 378056, restaurant, 0.03483959072346227), (2107, 377957, atm_bank, 0.03483959072346227), (182, 378056, restaurant, 0.03483959072346227), (4381, 379890, gas_station, 0.6188190554698334), Length: 2.537613651678986, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 610 ms|Time for KNN: 192716797 ms|Heap fetches: 96|Max heap size: 62
