Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
236676 [3, 3, 3, 0, 5] [0, 1, 2, 3, 4]|Found route: [POIs: (2753, 233915, movie_theater, 1.2901698071046428), (2753, 233915, movie_theater, 0.0), (2753, 233915, movie_theater, 0.0), (606, 233774, restaurant, 0.012755992089490367), (3687, 233899, pub_bar, 0.08364631584569934), Length: 1.3865721150398325, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 496 ms|Time for KNN: 201622058 ms|Heap fetches: 16|Max heap size: 13
30590 [0, 5, 6, 0, 4] [0, 1, 2, 3, 4]|Found route: [POIs: (166, 25435, restaurant, 0.5795060098579914), (3492, 25242, pub_bar, 0.025445245012232713), (4462, 25078, gas_station, 0.42020696192828455), (716, 24320, restaurant, 0.33264980384935067), (2908, 24274, pharmacy, 0.13971040701450022), Length: 1.4975184276623597, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 424 ms|Time for KNN: 289339584 ms|Heap fetches: 77|Max heap size: 45
273471 [2, 2, 4, 2, 1] [0, 1, 2, 3, 4]|Found route: [POIs: (2128, 274882, atm_bank, 0.7574697189756765), (2128, 274882, atm_bank, 0.0), (2938, 274880, pharmacy, 0.06818362249157126), (2128, 274882, atm_bank, 0.06818362249157126), (956, 274882, coffee_shop, 0.0), Length: 0.8938369639588191, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 238 ms|Time for KNN: 73289597 ms|Heap fetches: 12|Max heap size: 10
25101 [6, 1, 1, 1, 2] [0, 1, 2, 3, 4]|Found route: [POIs: (4462, 25078, gas_station, 0.5107714718737321), (165, 25405, coffee_shop, 0.3458158886589609), (165, 25405, coffee_shop, 0.0), (165, 25405, coffee_shop, 0.0), (2207, 25336, atm_bank, 0.19259993071406856), Length: 1.0491872912467617, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 235 ms|Time for KNN: 86397160 ms|Heap fetches: 16|Max heap size: 10
193299 [4, 2, 3, 1, 6] [0, 1, 2, 3, 4]|Found route: [POIs: (2993, 61724, pharmacy, 3.1860327057194384), (2461, 61688, atm_bank, 0.19597352859354142), (2692, 57721, movie_theater, 2.592454435805215), (317, 57718, coffee_shop, 0.05191636888311621), (4530, 57523, gas_station, 0.7895968106974162), Length: 6.815973849698727, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 16906 ms|Time for KNN: 16685476401 ms|Heap fetches: 2668|Max heap size: 766
70728 [0, 6, 1, 3, 2] [0, 1, 2, 3, 4]|Found route: [POIs: (763, 74887, restaurant, 1.6453023207728061), (4397, 76454, gas_station, 1.1479987270659244), (1362, 119043, coffee_shop, 0.6956329123605215), (2731, 119050, movie_theater, 0.26135526069214754), (2408, 79763, atm_bank, 0.5262378390675142), Length: 4.276527059958914, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5059 ms|Time for KNN: 4863968651 ms|Heap fetches: 396|Max heap size: 328
128008 [6, 6, 3, 5, 4] [0, 1, 2, 3, 4]|Found route: [POIs: (4428, 116084, gas_station, 0.7754844862902461), (4428, 116084, gas_station, 0.0), (2774, 113988, movie_theater, 3.829218413202278), (3846, 113977, pub_bar, 0.07168504444477791), (3251, 113988, pharmacy, 0.07168504444477791), Length: 4.748072988382081, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1848 ms|Time for KNN: 1723351424 ms|Heap fetches: 107|Max heap size: 105
6633 [4, 3, 5, 6, 0] [0, 1, 2, 3, 4]|Found route: [POIs: (2870, 10967, pharmacy, 2.5096169344318655), (2775, 12609, movie_theater, 3.1594940623799386), (4089, 13556, pub_bar, 0.440935888788987), (4415, 12907, gas_station, 1.822191406967048), (1398, 13016, restaurant, 0.24245105218521856), Length: 8.174689344753057, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1889 ms|Time for KNN: 1761393323 ms|Heap fetches: 242|Max heap size: 138
37434 [6, 1, 2, 4, 1] [0, 1, 2, 3, 4]|Found route: [POIs: (4463, 128702, gas_station, 2.4652906377721595), (307, 128730, coffee_shop, 0.06782855695548956), (2285, 128558, atm_bank, 0.20048869427001687), (2930, 128627, pharmacy, 0.15013580496259193), (307, 128730, coffee_shop, 0.05035288930742494), Length: 2.934096583267683, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 293 ms|Time for KNN: 145608928 ms|Heap fetches: 26|Max heap size: 21
329938 [5, 1, 0, 1, 0] [0, 1, 2, 3, 4]|Found route: [POIs: (3714, 329580, pub_bar, 0.36108007382827056), (254, 329822, coffee_shop, 0.16993948597682865), (254, 329822, restaurant, 0.0), (254, 329822, coffee_shop, 0.0), (254, 329822, restaurant, 0.0), Length: 0.5310195598050992, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 173 ms|Time for KNN: 25716312 ms|Heap fetches: 10|Max heap size: 8
