Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
281467 [4, 0, 3, 6, 5] [2, 4]|Found route: [POIs: (3253, 281649, pharmacy, 0.34964611250587424), (4526, 276863, gas_station, 2.7623857119083013), (2747, 275432, movie_theater, 0.9727728842856275), (2029, 275359, restaurant, 0.3073110298188722), (4215, 275289, pub_bar, 0.08276960164617243), Length: 4.474885340164848, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 24108 ms|Time for KNN: 9477462595 ms|Heap fetches: 2146|Max heap size: 1676
242247 [4, 2, 2, 6, 5] [0, 4]|Found route: [POIs: (3069, 241690, pharmacy, 0.4549001575617592), (4448, 241987, gas_station, 0.12483705211523347), (2295, 241941, atm_bank, 0.34451049595170047), (2295, 241941, atm_bank, 0.0), (3810, 241658, pub_bar, 0.41619448853452706), Length: 1.3404421941632203, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1119 ms|Time for KNN: 88279680 ms|Heap fetches: 118|Max heap size: 90
345992 [6, 3, 1, 5, 6] [2, 3]|Found route: [POIs: (4446, 345625, gas_station, 1.4746838441115737), (4446, 345625, gas_station, 0.0), (812, 344668, coffee_shop, 0.7513352911088969), (3434, 338574, pub_bar, 0.43309150866526824), (2702, 337770, movie_theater, 0.7450033363850027), Length: 3.404113980270741, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 44782 ms|Time for KNN: 6589109012 ms|Heap fetches: 10938|Max heap size: 1622
361633 [4, 0, 2, 1, 3] [0, 1]|Found route: [POIs: (2989, 361582, pharmacy, 0.08981780747225698), (1744, 354989, restaurant, 0.19289868256288428), (1744, 354989, coffee_shop, 0.0), (2318, 361593, atm_bank, 0.11457688918955326), (2727, 363315, movie_theater, 3.405040855508799), Length: 3.8023342347334936, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 82507 ms|Time for KNN: 28482294849 ms|Heap fetches: 17018|Max heap size: 5592
126592 [2, 4, 3, 2, 1] [0, 3]|Found route: [POIs: (2195, 127004, atm_bank, 1.424847121819334), (247, 126838, coffee_shop, 0.263583522317635), (2719, 126838, movie_theater, 0.0), (2196, 127008, atm_bank, 0.2289921096937581), (2994, 127004, pharmacy, 0.034591412623876945), Length: 1.952014166454604, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5709 ms|Time for KNN: 368724127 ms|Heap fetches: 1662|Max heap size: 1230
9955 [3, 6, 6, 2, 2] [3, 1]|Found route: [POIs: (4477, 11271, gas_station, 2.289869267870487), (4477, 11271, gas_station, 0.0), (2475, 12609, atm_bank, 1.884517036097407), (2475, 12609, atm_bank, 0.0), (2775, 12609, movie_theater, 0.0), Length: 4.174386303967895, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4466 ms|Time for KNN: 214279624 ms|Heap fetches: 596|Max heap size: 358
98935 [6, 0, 1, 0, 6] [2, 3]|Found route: [POIs: (4493, 98861, gas_station, 0.5412492685010128), (4493, 98861, gas_station, 0.0), (1972, 98921, coffee_shop, 0.5228190044895624), (1972, 98921, restaurant, 0.0), (1972, 98921, restaurant, 0.0), Length: 1.0640682729905753, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 3137 ms|Time for KNN: 529874373 ms|Heap fetches: 828|Max heap size: 332
10461 [2, 6, 3, 1, 5] [0, 3]|Found route: [POIs: (2475, 12609, atm_bank, 2.387664015761404), (2775, 12609, movie_theater, 0.0), (4093, 12641, pub_bar, 0.3574964396485702), (1712, 12384, coffee_shop, 0.1630023093802419), (4443, 12115, gas_station, 1.356202882858769), Length: 4.264365647648986, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 10438 ms|Time for KNN: 1411047593 ms|Heap fetches: 1416|Max heap size: 906
148778 [0, 5, 4, 0, 2] [4, 3]|Found route: [POIs: (3469, 148398, pub_bar, 0.2824324663028169), (3385, 101686, pharmacy, 0.7394953793319009), (1436, 102392, restaurant, 0.20093623171719582), (1436, 102392, restaurant, 0.0), (2515, 101767, atm_bank, 0.03899541605138816), Length: 1.2618594934033016, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2191 ms|Time for KNN: 321790467 ms|Heap fetches: 539|Max heap size: 454
221030 [3, 0, 3, 5, 3] [0, 2]|Found route: [POIs: (2777, 166597, movie_theater, 2.409301950419056), (2777, 166597, movie_theater, 0.0), (2777, 166597, movie_theater, 0.0), (3478, 166617, pub_bar, 0.04855426596881568), (489, 166615, restaurant, 0.023287110460305207), Length: 2.481143326848177, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1264 ms|Time for KNN: 92884825 ms|Heap fetches: 149|Max heap size: 114
