Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
52801 [6, 6, 4, 3, 3] []|Found route: [POIs: (4529, 56235, gas_station, 0.7997888480268442), (4529, 56235, gas_station, 0.0), (2704, 56366, movie_theater, 1.1161398642170586), (2704, 56366, movie_theater, 0.0), (2875, 56365, pharmacy, 0.056964730243144614), Length: 1.9728934424870472, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 851 ms|Time for KNN: 626 ms|Heap fetches: 111|Max heap size: 93
238462 [0, 2, 2, 1, 3] []|Found route: [POIs: (2295, 241941, atm_bank, 0.8533733141799544), (2295, 241941, atm_bank, 0.0), (835, 241496, coffee_shop, 0.19975913043898985), (828, 241496, restaurant, 0.0), (2721, 241637, movie_theater, 0.02460201233619288), Length: 1.0777344569551373, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 19868 ms|Time for KNN: 17242 ms|Heap fetches: 1749|Max heap size: 739
296953 [5, 6, 0, 0, 5] []|Found route: [POIs: (378, 294328, restaurant, 1.1321253808612048), (378, 294328, restaurant, 0.0), (3635, 294433, pub_bar, 0.045591694084525826), (3635, 294433, pub_bar, 0.0), (4517, 294319, gas_station, 0.2588254150904584), Length: 1.4365424900361892, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 14295 ms|Time for KNN: 11523 ms|Heap fetches: 1804|Max heap size: 785
387637 [2, 6, 4, 1, 1] []|Found route: [POIs: (2964, 379147, pharmacy, 1.1099275603302237), (4381, 379890, gas_station, 0.5456606511716356), (182, 378056, coffee_shop, 0.6188190554698335), (182, 378056, coffee_shop, 0.0), (2107, 377957, atm_bank, 0.03483959072346227), Length: 2.3092468576951553, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1231 ms|Time for KNN: 1014 ms|Heap fetches: 116|Max heap size: 93
300499 [0, 5, 0, 3, 1] []|Found route: [POIs: (1997, 300560, coffee_shop, 0.20426884320302466), (1997, 300560, restaurant, 0.0), (1997, 300560, restaurant, 0.0), (4136, 300434, pub_bar, 0.09513065421920007), (2815, 298990, movie_theater, 0.11432629922198945), Length: 0.41372579664421416, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 625 ms|Time for KNN: 0 ms|Heap fetches: 309|Max heap size: 225
10617 [4, 3, 5, 5, 3] []|Found route: [POIs: (4089, 13556, pub_bar, 2.4171973817407513), (4089, 13556, pub_bar, 0.0), (3280, 13697, pharmacy, 0.07343940150342651), (2775, 12609, movie_theater, 0.36749648728556056), (2775, 12609, movie_theater, 0.0), Length: 2.858133270529738, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1179 ms|Time for KNN: 927 ms|Heap fetches: 121|Max heap size: 116
42793 [5, 2, 5, 2, 2] []|Found route: [POIs: (3603, 55453, pub_bar, 8.00750984559021), (3603, 55453, pub_bar, 0.0), (2522, 55460, atm_bank, 0.4516033679598668), (2522, 55460, atm_bank, 0.0), (2522, 55460, atm_bank, 0.0), Length: 8.459113213550078, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 137 ms|Time for KNN: 104 ms|Heap fetches: 17|Max heap size: 15
74416 [5, 5, 6, 6, 2] []|Found route: [POIs: (3653, 113792, pub_bar, 1.4563901840213587), (3653, 113792, pub_bar, 0.0), (2190, 76472, atm_bank, 1.027967812949606), (4397, 76454, gas_station, 0.14819441218823198), (4397, 76454, gas_station, 0.0), Length: 2.6325524091591967, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4191 ms|Time for KNN: 3501 ms|Heap fetches: 349|Max heap size: 303
242960 [2, 6, 4, 0, 5] []|Found route: [POIs: (4506, 242566, gas_station, 0.6509567072326323), (2295, 241941, atm_bank, 0.5139431666921018), (3220, 241713, pharmacy, 0.046604954913280025), (828, 241496, restaurant, 0.1531541755257098), (3810, 241658, pub_bar, 0.21643535809553718), Length: 1.581094362459261, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1472 ms|Time for KNN: 485 ms|Heap fetches: 522|Max heap size: 377
89185 [0, 3, 4, 2, 5] []|Found route: [POIs: (3591, 56445, pub_bar, 2.9197151248026376), (1247, 56360, restaurant, 0.0843012960354352), (2131, 56373, atm_bank, 0.05277267585479178), (2875, 56365, pharmacy, 0.11995055300642173), (2704, 56366, movie_theater, 0.056964730243144614), Length: 3.2337043799424308, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5510 ms|Time for KNN: 1769 ms|Heap fetches: 2100|Max heap size: 1296
25924 [6, 6, 6, 3, 6] []|Found route: [POIs: (4424, 29042, gas_station, 1.4392643807914451), (4424, 29042, gas_station, 0.0), (4424, 29042, gas_station, 0.0), (4424, 29042, gas_station, 0.0), (2691, 112401, movie_theater, 3.2188550015907675), Length: 4.658119382382212, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 5014 ms|Time for KNN: 4668 ms|Heap fetches: 247|Max heap size: 105
