Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
380528 [1, 2, 5, 6, 4] [4, 1, 3]|Found route: [POIs: (3544, 381602, pub_bar, 1.144018375109206), (2121, 381429, atm_bank, 0.29260777519817716), (1220, 382505, coffee_shop, 1.3109104913533458), (4407, 381123, gas_station, 1.024950752097812), (2857, 381926, pharmacy, 0.48964155286864636), Length: 4.262128946627187, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1511 ms|Time for KNN: 1421 ms|Heap fetches: 127|Max heap size: 108
29778 [5, 6, 6, 0, 2] [4, 2, 3]|Found route: [POIs: (3997, 24009, pub_bar, 2.0861263021319885), (4461, 24323, gas_station, 0.5820305339805029), (4461, 24323, gas_station, 0.0), (716, 24320, restaurant, 0.09303147540543066), (2393, 24254, atm_bank, 0.01578197202660938), Length: 2.776970283544532, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 185 ms|Time for KNN: 171 ms|Heap fetches: 20|Max heap size: 16
360217 [2, 2, 2, 4, 1] [2, 1, 4]|Found route: [POIs: (2390, 354784, atm_bank, 1.456736679559798), (2390, 354784, atm_bank, 0.0), (2390, 354784, atm_bank, 0.0), (3108, 354910, pharmacy, 0.1831930694644489), (1744, 354989, coffee_shop, 0.07652295549584617), Length: 1.7164527045200932, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 691 ms|Time for KNN: 633 ms|Heap fetches: 93|Max heap size: 60
303856 [1, 2, 6, 5, 4] [2, 0, 3]|Found route: [POIs: (407, 304371, coffee_shop, 0.9605828839368604), (2303, 304371, atm_bank, 0.0), (4379, 304074, gas_station, 0.8877198917323803), (4352, 319938, pub_bar, 0.26132251821798674), (3042, 319687, pharmacy, 0.1415003383828065), Length: 2.2511256322700337, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1447 ms|Time for KNN: 1272 ms|Heap fetches: 242|Max heap size: 165
44225 [1, 6, 4, 1, 4] [1, 2, 4]|Found route: [POIs: (1429, 44120, coffee_shop, 1.9198458088586423), (4459, 50020, gas_station, 3.1285871412722077), (2891, 50533, pharmacy, 0.982162550698764), (325, 55307, coffee_shop, 1.5209832362161042), (3072, 55463, pharmacy, 0.35967680663381496), Length: 7.911255543679533, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 771 ms|Time for KNN: 730 ms|Heap fetches: 54|Max heap size: 42
353142 [6, 6, 6, 0, 3] [1, 3, 4]|Found route: [POIs: (4481, 310526, gas_station, 3.5222034845142107), (4481, 310526, gas_station, 0.0), (4481, 310526, gas_station, 0.0), (461, 310806, restaurant, 0.7803946277255462), (2695, 310697, movie_theater, 0.13818775733823813), Length: 4.4407858695779945, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 751 ms|Time for KNN: 716 ms|Heap fetches: 59|Max heap size: 38
61012 [6, 5, 4, 4, 4] [3, 0, 1]|Found route: [POIs: (4392, 61690, gas_station, 1.134649752061173), (4111, 190755, pub_bar, 0.3763380200711841), (2993, 61724, pharmacy, 0.34969110937112713), (2993, 61724, pharmacy, 0.0), (2993, 61724, pharmacy, 0.0), Length: 1.860678881503484, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 79 ms|Time for KNN: 74 ms|Heap fetches: 9|Max heap size: 6
402563 [2, 0, 0, 2, 4] [1, 4, 3]|Found route: [POIs: (472, 349808, restaurant, 1.812246476262517), (472, 349808, restaurant, 0.0), (2335, 349780, atm_bank, 0.04078923934366696), (2335, 349780, atm_bank, 0.0), (3010, 349780, pharmacy, 0.0), Length: 1.8530357156061839, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 330 ms|Time for KNN: 306 ms|Heap fetches: 33|Max heap size: 25
133900 [0, 6, 4, 6, 0] [3, 2, 1]|Found route: [POIs: (343, 133907, restaurant, 0.0916748998249716), (4525, 292060, gas_station, 1.4288715138781882), (3039, 292155, pharmacy, 0.09720528887289077), (4525, 292060, gas_station, 0.09720528887289077), (1614, 293855, restaurant, 0.49583994676292503), Length: 2.210796938211866, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 983 ms|Time for KNN: 914 ms|Heap fetches: 86|Max heap size: 71
127026 [2, 0, 2, 0, 6] [4, 2, 0]|Found route: [POIs: (2193, 126506, atm_bank, 0.3571249187266399), (955, 126506, restaurant, 0.0), (2193, 126506, atm_bank, 0.0), (799, 126195, restaurant, 0.8788895099698847), (4442, 126176, gas_station, 0.2661211502263453), Length: 1.5021355789228696, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 17464 ms|Time for KNN: 14969 ms|Heap fetches: 4786|Max heap size: 582
