Query|Route|Time|Time_KNN|Heap_fetches|Heap_max_size
8968 [6, 2, 6, 6, 2] [0]|Found route: [POIs: (4443, 12115, gas_station, 1.611904923372483), (4443, 12115, gas_station, 0.0), (4443, 12115, gas_station, 0.0), (2415, 13714, atm_bank, 1.546493828685385), (2415, 13714, atm_bank, 0.0), Length: 3.158398752057868, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 115 ms|Time for KNN: 82 ms|Heap fetches: 23|Max heap size: 17
188883 [5, 1, 3, 5, 2] [1]|Found route: [POIs: (4165, 189146, pub_bar, 0.6386214819173279), (691, 189146, coffee_shop, 0.0), (3655, 189706, pub_bar, 0.1680974861187341), (2329, 189056, atm_bank, 0.20810620436278662), (2713, 189056, movie_theater, 0.0), Length: 1.0148251723988486, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1584 ms|Time for KNN: 490 ms|Heap fetches: 701|Max heap size: 471
415723 [5, 3, 6, 0, 6] [3]|Found route: [POIs: (4506, 242566, gas_station, 8.827689583031507), (4506, 242566, gas_station, 0.0), (2721, 241637, movie_theater, 0.6450943996407245), (827, 241637, restaurant, 0.0), (3810, 241658, pub_bar, 0.19183334575934433), Length: 9.664617328431575, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2019 ms|Time for KNN: 1823 ms|Heap fetches: 151|Max heap size: 107
195908 [1, 1, 0, 2, 1] [2]|Found route: [POIs: (195, 203486, coffee_shop, 3.376090710262613), (195, 203486, coffee_shop, 0.0), (195, 203486, restaurant, 0.0), (195, 203486, coffee_shop, 0.0), (2265, 203574, atm_bank, 0.04348708253094087), Length: 3.4195777927935542, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 121 ms|Time for KNN: 93 ms|Heap fetches: 20|Max heap size: 15
287220 [2, 1, 0, 6, 5] [3]|Found route: [POIs: (4217, 278353, pub_bar, 6.666448753654878), (1431, 354456, coffee_shop, 0.35224133166718546), (1431, 354456, restaurant, 0.0), (4430, 354980, gas_station, 1.0740300530173381), (2548, 354932, atm_bank, 0.30669910477182444), Length: 8.399419243111227, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 9211 ms|Time for KNN: 6323 ms|Heap fetches: 2187|Max heap size: 1880
398727 [1, 2, 2, 0, 4] [4]|Found route: [POIs: (360, 239050, coffee_shop, 2.5054568267013932), (360, 239050, restaurant, 0.0), (2299, 239146, atm_bank, 0.1395799385877633), (2299, 239146, atm_bank, 0.0), (3222, 239154, pharmacy, 0.05180271295963911), Length: 2.696839478248796, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 237 ms|Time for KNN: 158 ms|Heap fetches: 42|Max heap size: 38
58295 [3, 0, 1, 1, 1] [3]|Found route: [POIs: (2692, 57721, movie_theater, 0.8461577182266837), (1442, 57720, restaurant, 0.019713745701063164), (317, 57718, coffee_shop, 0.032202623182053046), (317, 57718, coffee_shop, 0.0), (317, 57718, coffee_shop, 0.0), Length: 0.8980740871098, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 47 ms|Time for KNN: 1 ms|Heap fetches: 24|Max heap size: 20
267627 [6, 6, 1, 4, 6] [4]|Found route: [POIs: (3204, 263316, pharmacy, 6.623311278510558), (740, 263232, coffee_shop, 0.06730533172972379), (4501, 262839, gas_station, 0.4016845625437415), (4501, 262839, gas_station, 0.0), (4501, 262839, gas_station, 0.0), Length: 7.0923011727840235, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1213 ms|Time for KNN: 1026 ms|Heap fetches: 121|Max heap size: 106
73632 [0, 2, 0, 2, 5] [1]|Found route: [POIs: (3649, 113748, pub_bar, 1.2247188603762091), (2188, 113756, atm_bank, 0.297866164387076), (2188, 113756, atm_bank, 0.0), (631, 113760, restaurant, 0.02974068855878893), (631, 113760, restaurant, 0.0), Length: 1.552325713322074, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 2220 ms|Time for KNN: 421 ms|Heap fetches: 1192|Max heap size: 417
57133 [0, 3, 5, 3, 5] [2]|Found route: [POIs: (3455, 57455, pub_bar, 0.47205630040157825), (1439, 57455, restaurant, 0.0), (3455, 57455, pub_bar, 0.0), (2797, 57488, movie_theater, 0.06412075298050063), (2797, 57488, movie_theater, 0.0), Length: 0.5361770533820789, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 30 ms|Time for KNN: 1 ms|Heap fetches: 15|Max heap size: 13
